scheme,agency,description,image,link,who_is_it_for,what_it_gives,scheme_type,search_booster,phone,email,address,how_to_apply
Active Ageing Centres,Sree Narayana Mission,"Our Eldercare Centres at Woodlands and Race Course Road have transited to Active Ageing Centres.‘SNM AAC@Race Course’ and ‘SNM AAC (Care)@Woodlands’ offers seniors a suite of services such as:- Active Ageingn- Befriending and Buddyingn- Information and Referral to Care Servicesn- Social Connectorsn- Community ScreeningnSeniors can look forward to staying active and engage with the community through these services.To find out more about our Active Ageing Centres, please call us at +65 6955 9555.",,https://sreenarayanamission.org/our-services/active-ageing-centres/,Elderly,"Befriending services, Information services, Referral services, Emotional care, Community Screening","Elderly, Caregiver Support, Community Funding","active ageing, senior services, community engagement, eldercare, befriending",6955 9555,scc@snm.org.sg,Blk 861 Woodlands Street 83 #01-170,
Allkin Singapore's Active Ageing Centres,Allkin Singapore's Active Ageing Centres,"Allkin Singapore's Active Ageing Centres (AACs) in Ang Mo Kio, Sin Ming, Punggol, Sengkang, and Pasir Ris are drop-in social recreational touchpoints that promote the social-health wellbeing of seniors by engaging them meaningfully from within the community. What We Do Allkin Singapore's Active Ageing Centres are drop-in social recreational touchpoints that promote the social-health wellbeing of seniors by engaging them meaningfully from within the community. Through active outreach, we engage with elderly residents to participate in activities and give back to fellow neighbours through volunteering initiatives and befriending opportunities. At these senior activity centres in Singapore, we also engage with socially isolated and vulnerable seniors, enabling them to live with greater purpose and build connections within their communities.We currently operate eight active ageing centres in Ang Mo Kio, Sin Ming, Punggol, Sengkang, and Pasir Ris. How We Enhance &amp; Enrich Lives With the main aim of enabling seniors to cultivate stronger community ties, our Active Ageing Centres offer:Active Ageing Programmes</h3>Through curated activities like karaoke, arts &amp; craft workshops, and exercise programmes, elderly residents living in Ang Mo Kio, Sin Ming, Punggol, Sengkang, and Pasir Ris areas can spend their time meaningfully and develop skills while forming connections with new friends.Befriending &amp; Buddying</h3>Staff, volunteers, and fellow seniors in the community uplift more vulnerable and at-risk elderly residents through regular house visits and phone calls to ensure the elderly individuals’ safety and quality of life.Information and Referrals</h3>At the centres, elderly individuals can find out more about and be connected to relevant resources, community partners, and opportunities, where they can also be referred to relevant services for deeper support.Management of Emergencies</h3>Our centre coordinators are equipped to respond to emergency alert response calls; as senior activity centres in Singapore are situated in the hearts of the neighbourhoods, seniors can receive prompt support and follow-ups in emergency situations",,https://www.allkin.org.sg/services/active-ageing-centres,"Elderly, Persons with disabilities (PWDs), Families","Befriending services, Emotional care, Referral services, Active Ageing Programmes, Information services","Elderly, Caregiver Support, Community Funding","senior activities, elderly engagement, community support for elderly, befriending services, active ageing programmes",6453 5364,,420 Ang Mo Kio Avenue 10 #01-1143, For Enquiries &amp; ReferralsnFor enquiries:n[seniorservice@allki](mailto:seniorservice@allkin.org.sg)[n.org.sg](mailto:seniorservice@allkin.org.sg)nnFor referrals:n[refer2seniorservice@allkin.org.sg](mailto:refer2seniorservice@allkin.org.sg)
AWWA Active Ageing Centre,AWWA Active Ageing Centre,"AWWA’s Active Ageing Centre (AAC), previously known as AWWA Senior Activity Centre, serves as an anchor in the community to empower seniors to age with grace.Since 2020, AAC embarked on Community of Care initiative to enhance the health and well-being of our community. CoC builds network of service and community partners, and establish structured protocols to ensure smooth care transitions. Our proactive approach involves reaching out to seniors, assessing their unique needs, and connecting them with the right services. Our goal is to foster a stronger, more connected community.",,https://www.awwa.org.sg/our-services/seniors/active-ageing-centre/,Elderly,"Counselling, Emotional care, Referral services","Elderly, Caregiver Support, Healthcare","active ageing, senior support, elder care services, community care for seniors, wellbeing initiatives",6511 6690,,"123 Ang Mo Kio Avenue 6, #01-4011",
Care At Centre,Salem Welfare Services,"A senior activity centre that conducts activities such as arts and crafts, exercise sessions, potting and  farming cultivation activities that engages users onsite. The Centre is a set up with a café concept along with an espresso machine to enliven the site as a welcoming meeting place to bond over coffee for the young, the elderly, the sick and the lonely in the neighbourhood.  The Centre partners with [**Farmily **](https://www.farmilysg.com/)which is a social enterprise for farming vegetables and landscaping conducted at the grounds adjacent to the Centre (only available at Onesimus Village @ Kebun Bahru).",,https://sws.sg/community-services/,"Elderly, Low income, Families","Emotional care, Activities, Social engagement","Elderly, Community Funding, Caregiver Support","senior activity centre, arts and crafts for elderly, social engagement activities, community café for seniors, farming activities for elderly",6456 4891,admin@sws.sg,1 Thomson Hills Drive,
Care Corner Active Ageing Centres (AAC) and Active Ageing Centres,Care Corner,"Our **Care Corner Active Ageing Centres (AAC)** and **Active Ageing Centres (Care)** offer a range of services that support vulnerable seniors. Located within their neighbourhoods, we provide seniors with timely access to integrated health and social care for them to age healthily and with dignity.Our centres are also a safe space for seniors to strengthen social connections with their peers, take part in recreational activities and engage in volunteerism.**Communal spaces** to strengthen social connections among seniors and caregivers**Upskilling programmes** and activities for seniors to engage meaningfully in the communityProvide **hot meals** to low-income, home-bound seniors",,https://www.carecorner.org.sg/services/active-ageing/,"Elderly, Low income","Food support, Emotional care, Counselling","Elderly, Low Income, Caregiver Support","senior care, community support for elderly, home-bound senior meals, social activities for seniors, upskilling programmes",6255 5182,tp.aacc131@carecorner.org.sg,Blk 131 Lorong 1 Toa Payoh #01-01,"Please search for the centre closest to you using the [E-care Locator](https://www.aic.sg/care-services/e-care-locator-basic).If you stay in Toa Payoh, Woodlands or Marsiling, you may contact our centres to enquire.  For other locations, you may contact AIC at 1-800-650-6060 or learn more [here](https://www.aic.sg/care-services/active-ageing-centre). "
CareElderly Active Ageing Centres,Care Community Services Society Singapore,"Seniors can look forward to participating in fun activities, be a part of special interest groups such as arts and craft, music lessons, workshops, group work or even join our volunteering team. At CareElderly, we work together with community partners, seeking to encourage community participation and empowerment for our members.",,https://www.ccsscares.sg/careelderly/,Elderly,"Befriending services, Educational programmes, Skills training and job matching","Elderly, Community Funding","active ageing, senior activities, community participation, arts and crafts for elderly, volunteering opportunities",6747 8782,CareElderly_Circuit@ccsscares.sg,Blk 35 Circuit Road #01-432,Drop by our [**centres**](https://www.ccsscares.sg/careelderly/#contact) or [**call**](https://www.ccsscares.sg/careelderly/#contact) us to ask how you can be a member.
Eldercare,Filos Community Services," Programmes Active Ageing Centre</h4>The Filos Active Ageing Centre provides a suite of services to support seniors in building strong social connections in their neighbourhood and in receiving timely access to integrated health and social care that allows them to age healthily, productively and happily in their community.  It’s a go to place where they can take part in recreational activities as well as contribute to help with the needs of others through volunteerism. The suite of services includes:- **Active Ageing Programmes** – Daily programmes are held. These include the HAPPY exercise programmes, that prevent and reverse physical and cognitive frailty, and interest workshops (such as creative arts programmes) that engage seniors with various talents and interests.n- **Buddy and Befriending Programmes** that reach out to isolated seniors, as well as seniors living with chronic diseases or who are frail. Volunteer befrienders support seniors through regular tele-befriending and home visits.n- **Care Support** through information and referral services for seniors with complex medical or social issues providing prompt linkages to help them with their needs.n- **Social Connector** services provide linkages for lifestyle and social interventions for seniors. The Filos Active Ageing Centre will help them to connect with various programmes and services all around Singapore so that they can keep themselves active and healthy as they age in the communityn- **Community Screening** assists seniors to monitor their health through monitoring of vital signs, including pulse and blood pressure checks and measurement of weight, as they self-manage their chronic diseases in the community, in line with their personalised Health Plan. This is part of the Ministry of Health’s Healthier SG initiative.nOther Eldercare Services @ Filos</h4>- **THESS (TeleHEalth Service for Seniors) @ Filos** provides telemedicine service for seniors in Kembangan-Chai Chee to consult their doctors at Bedok Polyclinic from the Filos Active Ageing Centre, located near their home. They are able to consult the doctor and the pharmacist in a conducive environment, with reduced waiting times and in less crowded conditions. This service is run in collaboration with Singhealth Polyclinic – Bedok.n- **SingHealth Community Nursing Program (East)** We provide Community Nurse consultation services in collaboration with Changi General Hospital. Consultations take place at Filos Active Ageing Centre. The services include but are not limited to health and geriatric assessment, health coaching for disease prevention, and education on self-care, medication and chronic disease management.n",,https://www.filos.sg/services-eldercare,Elderly,"Healthcare (general/basic services), Befriending services, Referral services, Community Screening","Elderly, Healthcare, Community Funding","elderly care, active ageing, telemedicine for seniors, community nursing, chronic disease management",6242 5978,info@filos.sg,38 Chai Chee Avenue #01-177,
Friends Plus,St Hilda's Community Services," Step into Friends Plus and encounter an atmosphere where - Every person mattersn- Every day countsn- Every activity is focused at making the most of each person and each daynOur Friends Plus team is our most valuable asset as they ensure that a superior level of care is received by individuals.Excellence at Friends Plus is spelt J – O – Y Who will benefit? - Singapore Citizens or Permanent Residents aged 55 years and aboven- Ambulant and semi-ambulant seniorsn- Seniors who are independent and can largely manage the activities of daily livingn- Seniors whose families need help in looking after them during the day while they are at work.nTo be sure that Seniors who enrol are able to benefit from our programmes, a 3-day trial enrolment is available. Time Schedules Monday to Friday 7.30am – 6.00pm Closed on Saturdays, Sundays and Public Holidays",,https://sthildascsc.org.sg/?page_id=549,Elderly,"Respite care/Caregiver support, Emotional care","Elderly, Caregiver Support","senior care, elderly support, daily living assistance, caregiver help, independent seniors",6345 0054,friendsplus@sthildascsc.org.sg,Blk 10 Jalan Batu #01-08,
Geylang East Active Ageing Centre,Geylang East Home for the Aged,"Formerly known as The Senior Citizens Recreation Centre (from 1986 to 1995), to Neighbourhood Centre (from 1995 to 2005), to Geylang East Neighbourhood Link (from 2005 to 2011), to Harmony Activity Centre (from 2011 to 2022), and Geylang East Active Ageing Centre (from 1st April 2022 onwards), the Centre has evolved with the changing needs of our society and our local community.",,https://www.geha.org.sg/services/geylangeastactiveageingcentre/,Elderly,"Emotional care, Befriending services, Recreational activities","Elderly, Caregiver Support, Community Funding","active ageing, senior citizens recreation, elderly support, community activities, social engagement",6842 6643,ge.aac@geha.org.sg,98 Aljunied Crescent #01-411,
HNF Wellness Club @ Buangkok,Home Nursing Foundation,"HNF Wellness Club@Buangkok is an Active Ageing Centre (Care) where seniors can participate in recreational activities, remain socially connected and contribute to the community. Our seniors are empowered to age with joy through A- Active Ageing, B- Befriending, C- Care &amp; Support and D- Development of our community.**Activities Schedule**Every month, HNF Wellness Club@Buangkok has a variety of daily activities that members of the club can participate in.To register for these activities, please click [here](https://forms.office.com/r/gm9vrXgkXu).Alternatively, you may head down to HNF Wellness Club@Buangkok to register your interest as well. [https://www.hnf.org.sg/wp-content/uploads/2023/09/Activities-updated-25-Sept-23.png](https://www.hnf.org.sg/wp-content/uploads/2023/09/Activities-updated-25-Sept-23.png)",,https://www.hnf.org.sg/hnf-wellness-club-buangkok/,Elderly,"Befriending services, Emotional care, Recreational activities, Caregiver support","Elderly, Caregiver Support, Community Funding","active ageing, social connection, senior activities, wellness club, community engagement",6854 5059,aac.buangkok@hnf.org.sg,999 Buangkok Crescent #01-01,
Jia Ying Active Ageing Centre,Jia Ying Active Ageing Centre,"We operate two centres.  a. JY AAC @ 19 located at Blk 19, Hougang Ave 3 (*since 2004*) b. JY AAC @ 25 (Branch) located at Blk.25, Hougang Avenue 3 (*since 2014*) Our Centre provide activities that promote Active Ageing, Befriending Services and Care &amp; Support.Centre Based Activities includes the following; – Skills development e.g. I.T. class, Smart Phone savvy! – Conversational English class,  – Handicraft sessions e.g Decoupage – Social interaction e.g. karaoke, games time, Lai Lim Kopi sessions – Eat healthy cooking demonstration – Keep fit activities e.g. Morning dance, Fun Fitt, line dancing – Health monitoring e.g. blood pressure reading,  – Outings and festive celebrations – Visitation programme to the “at-risk” elderly",,https://jiaying.org.sg/?page_id=89,Elderly,"Befriending services, Skills training and job matching, Educational programmes, Health monitoring, Respite care/Caregiver support","Elderly, Caregiver Support, Education Support","active ageing, elderly activities, health monitoring, social interaction, skills development",6343 0530,,"Blk.25, Hougang Avenue 3, #01-442",
MWS Active Ageing Centres,MWS Active Ageing Centres,"MWS Active Ageing Centre – serves as a first stop in the community for seniors, to support their ageing at home and in their neighbourhood and to live fuller lives.",,https://mws.sg/centre-location/mws-active-ageing-centre-fernvale/,Elderly,"Emotional care, Respite care/Caregiver support, Social engagement activities","Elderly, Caregiver Support","active ageing, senior support, elderly community, ageing at home, social activities for seniors",6481 7395,mwsaacfvr@mws.sg,473A Fernvale Street #01-17,
PCS Active Ageing Centres,PCS Active Ageing Centres,"PCS Active Ageing Centres (AAC) enable **Singaporeans and Permanent Residents aged 60 years and above** to lead Healthy, Interdependent, and Purposeful (H.I.P.) lives. We do this by providing seniors with a vibrant environment that fosters social interactions among them and support their efforts to lead an active lifestyle, thus preventing loneliness and isolation. Each AAC is also staffed with a social worker. Core Principles  Active Ageing Programmes  Specially curated physical exercises for seniors, Rummy-O sessions, birthday celebrations, festive celebrations, karaoke sessions, digital knowledge workshops, and other interest groups for our seniors Befriending and Buddying  Follow up to assess seniors with the Community Screener at least once within the financial year, or if there is a change in seniors overall health or social condition. Care Services  Providing seniors with information on the relevant care services specific to their individual needs and providing referrals to link seniors directly with these care services",,https://pcs.org.sg/services/seniors/active-ageing-centre/,Elderly,"Befriending services, Emotional care, Referral services, Educational programmes","Elderly, Caregiver Support, Community Funding","active ageing, senior activities, social interaction for elderly, loneliness prevention, health workshops",6251 4960,estherenquiry@pcs.org.sg,Blk 61 Strathmore Ave #01-02,
S3 Active Ageing Centre @ Jurong Point,S3 Active Ageing Centre @ Jurong Point,"S3 is dedicated to preventing strokes and other chronic conditions among seniors by encouraging active lifestyles, monitoring of vitals, facilitating community connections, and promoting engagement in health-oriented events and campaigns. **All these efforts will be channelled through the new Active Ageing Centre (AAC) by S3, situated in Boon Lay.**Residents 60 and above living within our service area can sign up for free as members, where they can easily access assistance for services, stay informed about events, and enjoy meaningful outings. Services provided include:- Weekly communal meals and gatherings at or near Jurong Pointn- Door-to-door befriendingn- Wellness and Active Ageing Classes and Workshopsn- Community and social engagement eventsn- Health Awareness Talks and Campaignsn- Monitoring of vital signsn- Referrals to health services or other activitiesnFor more info or enquiries related to our services as an AAC, please contact us via WhatsApp at **8066 5986** or email [**aac.boonlay@s3.org.sg**](mailto:aac.boonlay@s3.org.sg). You can also find us conveniently located in Jurong Point, Level 6 (accessible only via Lift Lobby A).",,https://www.s3.org.sg/outreach-community-health,Elderly,"Befriending services, Community and social engagement events, Health Awareness Talks and Campaigns, Wellness and Active Ageing Classes and Workshops, Referral services","Elderly, Healthcare, Community Funding","active ageing, senior wellness, community engagement for seniors, health talks for elderly, befriending services",8066 5986,aac.boonlay@s3.org.sg,,
SASCO@WestCoast AAC,Care,"**As of 1st April 2023 SASCO@WestCoast is AAC (Care)**, this centre is a Senior Care Centre and Active Ageing Centre combined, Active Ageing Centre (Care), or AAC (Care), provides AAC services and additional care services, such as day care and community rehabilitation, in separate facilities nearby. [https://www.aic.sg/care-services/active-ageing-centre](https://www.aic.sg/care-services/active-ageing-centre).</h6>",,https://sasco.org.sg/our-services/,"Elderly, Persons with disabilities (PWDs), Caregivers","Respite care/Caregiver support, Healthcare (general/basic services), Rehabilitation services (Physiotherapy/Occupational therapy), Day care, Community rehabilitation","Elderly, Caregiver Support, Healthcare, Residential Care","senior care, active ageing, community rehabilitation, elderly day care, caregiver support",6273 5183,info@sasco.org.sg,"Blk 704, #01-431, West Coast Road",
Sheng Hong Active Ageing Centre (Care)@Sennett,Sheng Hong Active Ageing Centre (Care)@Sennett,"**Centre Profile:**</h3>Sheng Hong Active Ageing Centre (Care)@Sennett comprises of our Daycare Centre, Day Rehab Centre and Active Ageing Centre at one compound. what we offer **Our Services**</h3>1. Day Care </h4>Provides our seniors with opportunities to socialize with members of different age groups.  Through companionship and opportunities to take charge of activities of living, our seniors’ general and social well-being can be optimized. The service also includes activities and exercises with the objective to keep seniors engaged and physically active where possible. The centre also provides lunch and beverages.2. Community Rehabilitation </h4>Our Day Rehab Centre provides Active Rehabilitation with clinical physiotherapy and occupational therapy. Each session will last about 5-20mins depending on the patient’s condition. Maintenance Exercise program are endorsed by registered therapists and supervised by therapy staffs. It is specially for seniors who wants to strengthen themselves and keep themselves healthy.",,https://shenghong.org.sg/active-ageing-hub/,Elderly,"Daycare services, Rehabilitation services (Physiotherapy/Occupational therapy), Emotional care","Elderly, Healthcare, Caregiver Support","senior daycare, active ageing, rehabilitation services, physiotherapy, elderly social activities",6239 0933,aah@shenghong.org.sg,175 MacPherson Road,
TRANS FOCUS Active Ageing Centre,TRANS FOCUS Active Ageing Centre,"TRANS FOCUS Active Ageing Centre strongly believes in the possibility of seniors ageing successfully in a neighbourhood in which they are familiar with. As such we create opportunities for seniors aged 50 years and above to lead active and fulfilling lives.Active LearningWe create opportunities for seniors to continue to learn new skills and knowledge so as to promote lifelong learning.Active VolunteerismWe encourage seniors to develop talents and strengths and share them with fellow seniors. This can take the form of leading an activity, imparting skills to other seniors and visiting other charitable organisations.Community Mental Health ServiceWe provide mental health education and conduct screening for our seniors to detect early signs of depression or dementia.Caregiver Resource and SupportWe provide information and referral service to caregivers to support them in their caregiving journey.",,https://www.trans.org.sg/services-focus,"Elderly, Caregivers","Educational programmes, Psychological support/Psychotherapy, Referral services","Elderly, Caregiver Support, Mental Health","active ageing, lifelong learning seniors, caregiver support, mental health education, volunteer opportunities for seniors",6467 8191,transfocus@trans.org.sg,Blk 3 Toh Yi Drive #01-189,
Al-Anon Family Groups,Al-Anon Family Groups,"Al‑Anon is a mutual support program for people whose lives have been affected by someone else’s drinking.By sharing their experience, strength, and hope, and applying the principles of Al-Anon, families and friends of alcoholics can bring positive changes to their own lives.Participation in Al-Anon does not require the alcoholic to admit the existence of a drinking problem or to be seeking help themselves.",,https://www.alanonsingapore.org/,"Families, Persons with mental health issues, Individuals struggling with loss","Counselling, Support groups, Emotional care","Counselling and Emotional Support, Mental Health, Family","alcoholism support, family recovery, emotional healing, mutual support, coping with addiction",9774 2539,info@alanonsingapore.org,,
Alcoholics Anonymous,AA,"Alcoholics Anonymous is a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. The only requirement for membership is a desire to stop drinking. There are no dues or fees for A.A. membership; we are self-supporting through our own contributions. A.A. is not allied with any sect, denomination, politics, organization or institution; does not wish to engage in any controversy; neither endorses nor opposes any causes. Our primary purpose is to stay sober and help other alcoholics to achieve sobriety.",,https://singaporeaa.org/meetings.html,"Persons with mental health issues, Individuals struggling with loss, Young adults, Families","Support groups, Counselling, Psychological support/Psychotherapy, Befriending services","Addictions Rehabilitation, Mental Health, General Public Support","alcohol addiction, sobriety support, recovery program, mental health counselling, support groups for alcoholics",8112 8089,help@singaporeaa.org,,
Families in Recovery through Education and Empowerment on Problem Gambling FREE-PG,NAMS Clinic,"​Game Family is an eight-session psycho-educational and support group for family members of gamblers struggling with gambling addiction. The group is open to both the clients of NAMS as well as the general public. GAME Family teaches families how to better support the gambler in recovery, and how to take better care of themselves. The topics covered in the sessions include:

- Impact of problem gambling on familyn
- Managing moneyn
- Managing distressn
- Understanding problem gamblingn
- Helping the gamblern
- Rebuilding relationshipsn
- Caring for yourselfn
- Understanding and preventing relapses.n

Family members learn effective ways of coping with caregiver stress and to connect with others who are struggling with similar challenges. By sharing their personal struggles, family members can bond and learn from each other. Participants who have attended GAME Family say that the group has helped them to feel more knowledgeable and confident about managing the gambler in their family, rediscover hope, and empower their own lives.​",,https://www.nams.sg/our-services/group-programmes/Pages/game-family.aspx,"Families, Persons with mental health issues, Individuals struggling with loss","Counselling, Support groups, Emotional care, Psychological support/Psychotherapy","Family, Mental Health, Counselling and Emotional Support","gambling addiction support, caregiver stress, family support group, recovery from addiction, coping with gambling",1800 666 8668,,Block 9 (Basement) Buangkok Green Medical Park 10 Buangkok View Singapore 539747,
Family and Friends Support Group,We Care Community Services,"This support group is meant for family members, significant others and close friends of those affected by addiction.The group is facilitated by a **WE CARE** counsellor and participants will:- Understand the nature of addictionn- Recognise the importance of self-care n- Learn how to better support your loved onen- Appreciate the value of setting boundariesn- Learn to stop enabling the addictionn",,https://www.wecare.org.sg/services-educational.php,"Persons with mental health issues, Caregivers, Families","Counselling, Support groups","Mental Health, Caregiver Support, Family","addiction support, family counselling, caregiver self-care, support for addiction, boundaries in addiction",3165 8017,help@wecare.org.sg,"11 Jalan Ubi, Block 5, #01-41",
Gamblers Recovery Support Group,Ascending Hope Community Services,"Time: Every Tuesday 7.30pm-9.30pm
At Ascending Hope, we have a physical peer support group which gather people with similar problems. The goal is for them to motivate each other to resolve their compulsive gambling addiction through promoting change in lifestyle and outlook.
We also have our own steps-based programme which helps in healing gambling addiction, creating financial health, and improving mental wellness.
We also help recovering addicts with:
DEBT RESTRUCTURING
GAMBLING ADDICTION RECOVERY
LOAN-SHARK HARASSMENT
MONEYLENDER DEBT",,https://www.ascendinghope.org/programs/gamblers-recovery-support-group,"Persons with mental health issues, Individuals with gambling addiction, Low income","Support groups, Debt assistance, Addictions treatment and rehabilitation","Addictions Rehabilitation, Debt Assistance, Mental Health","gambling addiction support, debt restructuring, loan-shark harassment, financial health, peer support group",8876 2225,admin@ascendinghope.org,"37 Jalan Pemimpin, #07-03 Mapex Building  ",
Gambling Addiction Recovery Programme,One Hope Centre,Discovering freedom through intense counselling sessions and empowerment programmes. **PROGRAMME OVERVIEW**- 6 individual counselling sessionsn- 2 family counselling sessions (optional)n- 6 support group / group work sessionsn**Note:**Duration and number of sessions may be extended where necessary,,https://www.onehopecentre.org/help-recovery-programmes,"Persons with mental health issues, Individuals with gambling addiction","Counselling, Support groups, Emotional care","Addictions Rehabilitation, Mental Health, Counselling and Emotional Support","gambling addiction, recovery programme, counselling support, support groups, mental health",6286 0152,help@onehopecentre.org,8 New Industrial Road #04-04B LHK3 Building,
Narcotics Anonymous,Narcotics Anonymous,"NA is a non-profit fellowship or society of men and women for whom drugs had become a major problem. We are recovering addicts who meet regularly to help each other stay clean. This is a program of complete abstinence from all drugs. There is only one requirement for membership, the desire to stop using. We suggest that you keep an open mind and give yourself a break. Our program is a set of principles written so simply that we can follow them in our daily lives. The most important thing about them is that they work.
There are no strings attached to NA. We are not affiliated with any other organizations. We have no initiation fees or dues, no pledges to sign, no promises to make to anyone. We are not connected with any political, religious, or law enforcement groups, and are under no surveillance at any time. Anyone may join us, regardless of age, race, sexual identity, creed, religion, or lack of religion.
We are not interested in what or how much you used or who your connections were, what you have done in the past, how much or how little you have, but only in what you want to do about your problem and how we can help. The newcomer is the most important person at any meeting, because we can only keep what we have by giving it away. We have learned from our group experience that those who keep coming to our meetings regularly stay clean.",,https://nasingapore.org/meeting.htm,"Persons with mental health issues, Young adults, Youth-at-risk, Individuals struggling with loss, Individuals with gambling addiction","Support groups, Addictions treatment and rehabilitation, Counselling, Psychological support/Psychotherapy, Helpline services","Addictions Rehabilitation, Mental Health, Youth-at-Risk, Counselling and Emotional Support","drug addiction, recovery support, abstinence program, addiction help, mental health counselling, support group meetings, clean living, fellowship for addicts",8405 8432,,,Register through form at https://forms.gle/PhBPBj9Vx9j463c36
New Seekers Support Group Programme,New Seekers Support Group Programme,"Founded in 2004, One Hope Centre (OHC) is a non-profit social service organisation and a registered Institute of Public Character (IPC) in Singapore. We specialise in helping people affected by behavioural addictions, such as problem gambling and compulsive spending.
OHC offers counselling for individuals and families, support groups and group therapy. All our help services are provided free of charge. We also conduct workshops and public seminars on addictions and related issues.",,https://www.onehopecentre.org/about-addictions,"Individuals with mental health issues, Families, Persons with disabilities (PWDs), Persons with chronic or terminal illnesses, Individuals struggling with loss","Counselling, Support groups, Psychological support/Psychotherapy, Emotional care, Referral services","Mental Health, Addictions Rehabilitation, Counselling and Emotional Support","addiction support, problem gambling, compulsive spending help, counselling services, support groups",6286 0152,help@onehopecentre.org,8 New Industrial Road #04-04B LHK3 Building,
PSALT Care,PSALT Care,"At PSALT Care, we seek to do our part in promoting mental health and happiness.
We run various peer-led support groups to strengthen and sustain the recovery of those suffering from mental illness and addictions.
Our peer-operated programmes and services include our range of peer support groups:

- Eagles Check-in Peer Support Group (Mon, Wed, Fri)n
- Dandelion DBSA Check-in Peer Support Group (Tue, Thu)n
- Words of Wisdom (WoW-1) Peer Support Group (1st/3rd Wed)n
- Ways of Wellness (WoW-2) Peer Support Group (2nd/4th Wed)n",,https://www.psaltcare.com/peer-support-services/peersupport/,"Persons with mental health issues, Young adults, Families","Support groups, Psychological support/Psychotherapy, Counselling","Mental Health, Counselling and Emotional Support, Community Funding","mental health support, peer support groups, addiction recovery, emotional wellness, counselling services",,info@psaltcare.com,"10 Sinaran Drive, #11-16, Novena Medical Centre",
Recovery Support Groups,We Care Community Services,"You are not alone. That is the unique message in our Recovery Support Groups (RSG). In these meetings, members share their experiences, struggles, fears and hope. Through sharing, listening and understanding the adversity of others, they realise that others have gone through the same trials. On this journey, members support each other through their hardships and celebrate their victories. RSGs meet on a regular basis in a safe environment where struggles, thoughts, and feelings are expressed without fear of rejection or judgement.  **WE CARE** hosts various self-help RSG meetings on a daily basis. If you wish to attend any meeting, check the schedule and the contact details [**here**](https://www.wecare.org.sg/activities-schedule.php)*For Facilitated Group Counselling Programmes, please click [here](https://www.wecare.org.sg/services-counselling.asp) for more information. ",,https://www.wecare.org.sg/activities-schedule.php,"Persons with mental health issues, Families, Individuals struggling with loss, Teenagers facing pregnancy, Youth-at-risk","Support groups, Counselling, Psychological support/Psychotherapy, Emotional care, Helpline services","Mental Health, Counselling and Emotional Support, Family, Youth-at-Risk","recovery support, mental health support, group therapy, emotional sharing, peer support groups",3165 8017,help@wecare.org.sg,"Kembangan-Chai Chee Community Hub 11 Jalan Ubi, Block 5, #01-41",
Sex Addiction Recovery Programme,One Hope Centre,Discovering freedom through intense counselling sessions and empowerment programmes. **PROGRAMME OVERVIEW**- 6 individual counselling sessionsn- 2 family counselling sessions (optional)n- 6 support group / group work sessionsn**Note:**Duration and number of sessions may be extended where necessary,,https://www.onehopecentre.org/help-recovery-programmes,"Persons with mental health issues, Individuals struggling with loss","Counselling, Support groups","Addictions Rehabilitation, Mental Health, Counselling and Emotional Support","sex addiction recovery, counselling sessions, support groups, mental health support, empowerment programmes",6286 0152,help@onehopecentre.org,8 New Industrial Road #04-4B LHK 3 Building,
SMART Recovery,We Care Community Services,"**SMART** stands for Self-Management And Recovery Training.Founded in 1994, SMART Recovery is the leading self-empowering support group in addiction recovery. Participants learn psychological tools for recovery based on the latest scientific data drawn from outcome research on addiction treatments and observational studies of 'natural recovery' and participate in a worldwide community that includes free, self-empowering, science-based mutual help groups.It is a secular programme that helps people to recover from all types of addiction (substances or activities). SMART Recovery supports individuals who have chosen to abstain, or are considering abstinence from any type of addictive behaviours, by teaching how to change defeatist thinking, emotions, and actions; and to work towards long-term fulfilment and quality of life. This approach reinforces self-reliance and self-directed change.SMART Recovery is a recognised resource for substance abuse and addiction recovery by the American Academy of Family Physicians, the Center for Health Care Evaluation, The National Institute on Drug Abuse (NIDA), US Department of Health and Human Services, and the American Society of Addiction Medicine.Over 1700 weekly group meetings led by Registered SMART Recovery Facilitators are held worldwide. Each meeting is 90-minutes long and consists of checking-in, agenda-setting, group discussion, and checkout. **WE CARE** offers weekly SMART Recovery support group meetings for our registered members. Our meeting is also listed under the [SMART recovery website](https://www.smartrecovery.org/), as well as the [SMART International website](https://www.smartrecoveryinternational.org/). Our facilitators are Registered SMART Recovery Facilitators. ",,https://www.wecare.org.sg/services-educational.php,"Persons with mental health issues, Individuals with gambling addiction, General public","Support groups, Addictions treatment and rehabilitation, Counselling","Addictions Rehabilitation, Mental Health, General Public Support","addiction recovery, self-help groups, SMART Recovery, mental health support, psychological tools for recovery",3165 8017,help@wecare.org.sg," 11 Jalan Ubi, Block 5, #01-41",
