Scheme,Agency,Description,Image,Link,Who's it for,What it gives,Scheme Type,search_booster,phone,email,address,How to apply
Family Empowerment Programme,AWWA,"The FEP is Singapore’s first randomised control trial on unconditional cash transfers, which aimed to empower lower-income families with the mental bandwidth and financial flexibility to plan for and pursue their medium-to long-term goals.[Read the full report here](https://www.awwa.org.sg/source/uploads/2024/07/AWWA-Family-Empowerment-Programme-Report-2024.pdf)",,https://www.awwa.org.sg/our-services/families/family-service-centre/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6511 9456,fsc@awwa.org.sg,"Blk 107 Towner Road, #01-356",
Family Support,Sikh Welfare Council Singapore,"The objective of the Financial Assistance &amp; Food on the Table Program is to provide support to Singaporean families in need for financial or other type of assistance.We assess the needs of a family and provide them with the necessary financial, food ration, informational, and socio-emotional support required. \n\nThis will include:- Processing and approving all cases of financial assistance to deserving individuals and families.n- Directing the SIWEC staff to further investigate requests for financial assistance.n- Study of family needs for follow up action by other committees under the Sikh Welfare Council.n- Liaising with Family Service Centre / Social Service Office (SSO), Ministry of Community Development, Youth and Sports (MCYS), Ministry of Education, or other Government organizations for client’s family needs.n- Publicising in the community various available government programmes for family support and financial assistance.n- Publicising in the community various available national programmes pertaining to the development and cohesion of the family as the basic social unit.n- Promoting good family values to the clients.n",,https://www.siwec.org/our-services/family-support-services,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6299 9234,,,"We provide assistance based on the specific needs of the family. This may take the form of financial assistance, advise and even food for the poor (in the form of NTUC vouchers). Call our hotline and talk to our welfare officers: 6299 9234.**Forms**:n[Medical Equipment Request Form](https://www.siwec.org/downloads/softcopy-forms/47-medical-equipment-request-form-1st-edition-aug-2016/file)n[Financial Assistance Document Checklist](https://www.siwec.org/downloads/softcopy-forms/46-financial-assistance-document-checklist/file)"
Family Support Services,Eurasian Association,"The welfare branch of the EA, **Family Support Services (FSS)**, provides assistance and guidance to Eurasians from underprivileged backgrounds, especially the elderly and&nbsp;families at risk. Through&nbsp;its various programmes and funds, FSS helps the Eurasian community to manage the hardships of life’s unforeseen circumstances. FSS initiatives aim to help our beneficiaries build self-confidence so that they can overcome obstacles. Friends of the FSS (volunteers) deliver monthly food rations and basic necessities to homes.&nbsp;",,https://www.eurasians.sg/families,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6447 1578,fss@eurasians.org,139 Ceylon Rd,[FSS Financial Assistance Form](https://ea.socialservicesconnect.com/form-selector/)
Financial Aid and Practical Assistance,NCCS,National Cancer Centre Singapore's page on seeking financial aid and how to approach their medical social workers if you face difficulties paying for the cost of cancer treatment or care at their centre alongside a FAQ section.,,https://www.nccs.com.sg/patient-care/specialties-services/financial-aid-practical-assistance,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,,,,
Financial Assistance,BCare,"We offer short-term financial assistance to the residents of Hougang, Sengkang and Punggol who are in need of help.",,https://www.bcare.org.sg/our-services/social-service/financial-assistance/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6340 4161,admin@bcare.org.sg,,
Financial Assistance,PPH Community Services Centre,"Financial assistance is offered to families who have difficulties making ends meet. Help funds, gifts in kinds and waiver of programme fees are extended to these families.&nbsp;",,https://pphcsc.org/our-services/community-assistance/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6566 5603,community@pphcsc.org,"Blk 44 Teban Gardens Road, #01-407",
Financial Assistance,Society of Sheng Hong Welfare Services,"<h1>Financial Assistance</h1>There are a variety of schemes and assistance to help low-income families who encounter financial difficulties or sudden life upheavals. Depending on eligibility, we assist those who are in financial needs with the following schemes:<h4>Children &amp; Youth Assistance Fund (CYAF)</h4>CYAF is a scheme set up by Society of Sheng Hong Welfare Services. &nbsp;It provides short-term assistance to families when they have difficulty to provide adequately to meet the basic needs of their dependent children.<h4>School Pocket Money Fund (SPMF)</h4>SPMF is a scheme that helps to provide school-going children with pocket money to meet their basic needs. &nbsp;Primary school children will receive $60 a month whereas secondary school children will receive $95 a month.<h4>Comcare Transition (CCT)</h4>CCT provides short term financial assistance to those who are temporarily out of job.<h4>Other Schemes Of Assistance</h4>- Food Rationsn",,https://shenghong.org.sg/family-services/financial-assistance/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6289 5022,,,
Financial Assistance,Yong-en Care Centre,"Financial assistance is provided to those in need of immediate support. Our emergency relief fund was set up to help low-income breadwinners who have lost their jobs, had their income severely disrupted or faced a personal income loss due to COVID-19. We provide financial support of $500 to $1000 per month for a period ranging from 3 to 6 months.We aim to provide our beneficiaries with temporary financial assistance to help them cover daily expenses and give them some peace of mind, so they focus on getting back on their feet.",,https://www.yong-en.org.sg/care-assistance/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance | Financial Aid and Food Aid , Food Aid , Food Rations",,,mail@yong-en.org.sg,,"<h6>How to Apply ?</h6>[For referrals or enquiries, please email ](mailto:mail@yong-en.org.sg)[mail@yong-en.org.sg](mailto:mail@yong-en.org.sg)"
Financial Support Programmes for PLHIVs,Action for Aids Singapore,"**Linkage to Care Fund: For newly diagnosed PLHIVs**We would like to make it easier for you to start your journey to better health and management of HIV infection. We will subsidise your first visit to various healthcare institutions such as Tan Tock Seng Hospital’s National Centre for Infectious Diseases (TTSH/NCID), National University Hospital (NUH MIDC), and Changi General Hospital (CGH), up to a maximum of $200. This will help to cover a major portion of the costs for laboratory tests and consultation charges on your first visit. This subsidy scheme started in 2009 is only applicable to Singaporeans/Permanent Residents who have tested HIV-positive at AFA’s Anonymous Testing Services (both the ATS &amp; MTS).A referral letter will be issued by our Clinic Manager/Case Manager based on your preferred choice of healthcare institution. The counter staff there will make the necessary arrangement for the subsidy if you present the referral letter from us. Your bill will have up to $200 deducted from it.**Paddy Chew Empowerment Fund**Started in 1998, our longest-running empowerment subsidy to provide critical and timely financial support to lower the cost of living. Some of Anti-retroviral medications are classified as standard drugs in Singapore and the financial burden can deter adherence to treatment. To ensure that we incorporate GIPA principles (Greater Involvement of People Living with HIV/AIDS), AFA supports PLHIV who give back to the community by participating in educational activities and AIDS awareness talks. In doing so, they help us reach and influence more people, and at the same time are voices for other PLHIVs**HIV+ Pregnant Mother’s Fund**The HIV+ Pregnant Mothers Fund was established in 2007 to help eliminate vertical transmission of HIV. To achieve this, we provide assistance for HIV-positive pregnant mothers who cannot afford anti-retroviral treatment. All applications for the financial subsidy are submitted to AfA through a certified medical social worker from healthcare institutions.**Care for Family Fund**Caring for a PLHIV and meeting the associated medical costs, in many cases, puts a significant strain on a family’s resources. In our encounters with affected families, the financial burden of treatment is cited as a key reason for patients failing to adhere to treatment. To offset some of the costs associated with living with HIV, AfA offers the Care for Family Fund subsidy to affected PLHIVs and their families.Applications for financial subsidy are submitted to AfA via medical social workers on behalf of their clients. This ensures that the appropriate needs assessment is done by social work professionals, and that all other avenues of government funding have already been exhausted prior to their application. With these measures in place, the financial assistance will reach individuals and families who are most in need.**Emergency Fund**High levels of stigma, discrimination and ignorance mean that many people who are diagnosed with HIV could lose their jobs due to discrimination. The Emergency Fund aims to provide support to young PLHIV (&lt;30 years) who have been terminated from their employment due to their HIV status for an interim period. This helps them cope with some of their daily expenses and their medication costs while they seek new employment and help.",,https://afa.org.sg/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance | Financial Aid and Food Aid , Financial Aid , Medical Subsidies",,6254 0212,support@afa.org.sg,9 Kelantan Lane #03-01,
Fresh Start Scheme,City Harvest Community Services Association,"To empower families to break out of chronic poverty. This is done through the disbursement of a capital fund to bring about possible structural changes to the family’s social and economic circumstances. This capital fund is capped at $2,000 per household and will only be granted once.**Examples**:• Homeless person who requires help with paying for rental deposit• Breadwinner requiring skills upgrading to increase income• Parents requiring childcare deposit for childcare placement in order to work• Family requiring subsidy for home nursing expenses• Student requiring assistance for education funding because of ineligibility for mainstream funding**Approach**Applicant will work together with a caseworker over 3 months to formulate and execute an action plan related to one of the following areas:• Skills-based: Pursuit of education / Skills upgrading / Vocational Licensing• Caregiving: Child care / Elder care / Nursing care arrangements• Housing: Rental of accommodation• Career: Deposit or start up fund for work-related necessities",,https://www.chcsa.org.sg/services/financial-assistance,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,9850 9030,jeannettesoh@chcsa.org.sg,"12 Pine Close, #01-85",
Goh Chok Tong Enable Fund,Goh Chok Tong Enable Fund,"The Goh Chok Tong Enable Fund (GCTEF) aims to provide persons with disabilities the opportunities to actively contribute to society and lead socially integrated lives. The Fund supports persons with disabilities through 3As: providing financial Aid, supporting Aspirations and giving Awards to recognise the achievements and potential of persons with disabilities.Emeritus Senior Minister Goh Chok Tong is the Patron of the fund. The fund is administered by SG Enable, and supported by Mediacorp.",,https://www.gctenablefund.sg/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,1800 8585 885,enquiries@gctenablefund.sg,"20 Lengkok Bahru, #02-06",
Heart Support Fund,Singapore Heart Foundation,"Singapore Heart Foundation provides financial assistance to needy heart patients through the Heart Support Fund.n## Areas of Support\nn## Mechanical Heart Device\nPatients receive a 65-80% subsidy for the implantation of mechanical heart devices using the Health Science Development Fund from the Ministry of Health. However, the balance cannot be paid using the patient’s existing MediFund.Patients with financial constraints can apply to SHF for help in paying for their mechanical heart devices.**Examples of implantable devices that qualify for financial assistance are:**- ECMOn- ABIOMEDn- THORATECn- HEARTMATEnSHF provides a subsidy of up to $20,000 to defray the cost of each patient’s mechanical heart devicen## Heart Transplant\nPatients undergoing a heart transplant are eligible for the Heart Transplant Subsidy from the Ministry of Health. As there is a maximum cap on this subsidy, patients who are unable to settle the outstanding balance of their heart transplant expenses and subsequent follow-up treatment fees can request additional financial support from SHF.SHF will assist each heart transplant patient with up to a maximum of $20,000.n## Emergency Relief Assistance\nSome patients suffer income loss after a cardiac treatment when they are unable to resume their former jobs and face difficulty in re-employment or when they have to take time off from work to attend cardiac rehabilitation programmes or routine medical appointments.To help these patients adjust to periods of income loss, SHF offers emergency relief assistance of up to $800 per month for a maximum period of six months; and on a case-to-case basis, up to another three months for each patient, according to the treatment of their heart condition.n## Transportation subsidy for hospital follow-up visits\nFor heart patients who require frequent follow-up visits to the hospital, SHF issues the CabCharge card to provide transport subsidy, such that patients can travel to and fro the hospital safely.n## Sponsorship of medical and mobility devices\nHeart patients who require close monitoring of their conditions but are unable to afford the medical devices can apply to SHF for assistance. By equipping them with medical devices like BP monitors and heart rate monitors, and mobility devices like wheelchairs, patients are empowered to cope and even thrive with their ongoing health issues.",,https://www.myheart.org.sg/heart-support-fund/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6354 9348,rehab@heart.org.sg,,"Heart patients may approach their hospital medical social workers for help to facilitate the application.For enquiries on the Heart Support Fund, please call 6354 9348/70 or email [rehab@heart.org.sg](mailto:rehab@heart.org.sg)."
Interim Support Scheme,City Harvest Community Services Association,"To support families and individuals who are in need via interim financial assistance and referral support while they seek assistance from public assistance schemes. Assistance is capped at $200 per beneficiary per disbursement (capped to $600 per family) up to a period of 3 months.Examples:• Individuals who are experiencing crises, needing urgent help but are not yet linked to any social services.• Families awaiting outcome of financial assistance application by Social Service Office.",,https://www.chcsa.org.sg/services/financial-assistance,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,9850 9030,jeannettesoh@chcsa.org.sg,"12 Pine Close, #01-85",
Kwan Im Thong Hood Cho Temple Emergency Grant - For SMU students,SMU,"<h4>About the Financial Award</h4>Established in 2016 by the Kwan Im Thong Hood Cho Temple, the Grant provides one-off financial assistance to undergraduates at the Singapore Management University requiring immediate and interim financial assistance, having been faced with unforeseen crises which resulted in financial difficulties in their families.",,https://admissions.smu.edu.sg/financial-matters/financial-aid/kwan-im-thong-hood-cho-temple-emergency-grant,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,,finasst@smu.edu.sg,,"<h4>Application</h4>Apply via OASIS (Self-Service App – Financial Aid Application) by completing the ""Application for Emergency Grant"" form.<h4>Enquiries</h4>Centre for Student Financial AssistancenOffice of Admissions and Financial AssistancenEmail: [finasst@smu.edu.sg](mailto:finasst@smu.edu.sg)"
Lee Foundation Emergency Grant - for SIT students,Lee Foundation,The Lee Foundation Emergency Grant was established to support financially disadvantaged and deserving students pursuing a full-time undergraduate degree programme at the Singapore Institute of Technology (SIT).&nbsp;,,https://www.singaporetech.edu.sg/admissions/financial-aid/emergency-funds-grants/lee-foundation-emergency-grant,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,,,,
Little Steps @ North West,North West CDC,"Little Steps @ North West provides cash assistance to children aged up to six years old in the North West district, who are supported by KidSTART Singapore (SG), to help relieve their families’ financial stress from upkeeping daily expenses. Each eligible child will receive $500 per financial year disbursed to the parents’ or caregivers’ bank accounts.
Important to note:
Each eligible child will receive a letter from the North West CDC to register for Little Steps @ North West. Upon successful verification of all supporting documents, the child will be enrolled into the programme, and a confirmation letter will be mailed to the registered address.
As the applications are processed in batches, any incomplete submission of documents will result in a delay in the crediting of the cash assistance.",,https://northwest.cdc.gov.sg/programmes/uplifting-the-community/little-steps/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6248 5566,northwest_cdc@pa.gov.sg,,
Love Your (Unseen) Neighbour,Hope Initiative Alliance,"Love Your Unseen Neighbour (LYUN) is a movement of Hope Initiative Alliance that provides financial and social help for low-income families and vulnerable-in-community (VIC) in Singapore, such as the elderly cardboard collectors and tissue sellers who reside in the neighbourhood areas across Singapore.Beyond the charity, LY(U)N also promotes good neighbourliness by inducing acts of love, compassion and empathy for residents who are in financial difficulties and may also be unseen by the public.&nbsp;Charity Services- Befriendingn- Care Pack &amp; Cash Gift DistributionSelf-Care ProgramChild Mental Wellness Programmesn",,https://www.hia.sg/lyun,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6304 3499,info@hia.sg,"101 Eunos Avenue 3,\nTSL Building #07-10",
Mediacorp Enable Fund,Mediacorp Enable Fund,"The Mediacorp Enable Fund (MEF) benefits persons with disabilities. MEF provides financial support for person with disabilities pursuing aspirations such as education, work, or in achieving meaningful objectives.<h3>**Vision and Mission**</h3>To help build a society where every citizen of all abilities has a place and role to play. The Fund will focus on efforts to enhance the education, skills and employment prospects of persons with disabilities, as well as foster greater empathy and inclusion for persons with disabilities in the wider community.",,https://www.sdsc.org.sg/sdsc_support_program/mediacorp-enable-fund/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6342 3501,,"3 Stadium Drive, #01-34",<h3>**Process**</h3>Interested applicants can fill up the&nbsp;[application form](http://sdsc.org.sg/wp-content/uploads/2021/10/APPLICATION-FOR-TODAY-ENABLE-FUND_SUPPORT.docx)&nbsp;and submit it to their respective Sports Officers from SDSC.&nbsp;<h3>**For More Information**</h3>Visit&nbsp;[https://www.mediacorp.sg/en/about/mediacorp-cares#csrtab-0](https://www.mediacorp.sg/en/about/mediacorp-cares#csrtab-0)
MTFA Financial Assistance,Muslimin Trust Fund Association,"Bi-monthly cash support for families struggling to make ends meet - from purchasing baby milk powder, to paying utility bills to keep the light on.",,https://www.mtfa.org/financial-assistance,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6746 5729,welfareaid@mtfa.org,5 Mattar Road,<h3>What documents will be required for the application of financial assistance?</h3>Kindly refer to the link below for the required documents:1. [List Of Documents Required](https://17a6c9f4-429a-4a0b-a4c8-74a1e3e3ba36.filesusr.com/ugd/9b6de7_b46eb01fd69344f7b9f40819d8e5238d.pdf)2. [Submission Guideline](https://drive.google.com/file/d/1GOGxhIMKRpAANkulmNHzX-llov4b2Han/view)Financial Assistance Application[Submit New Application](https://form.jotform.com/221431505205441) n[Retrieve Application](https://muslimintrustfundassociation.my.salesforce-sites.com/financialaid/FAPreForm)
Neighbourhood Assistance Fund,Bless Community Services,"The Neighbourhood Assistance Fund seeks to provide emergency relief or short term assistance to individuals and families who face an unexpected hardship (unexpected loss of job, retrenchment etc), causing a significant impact on their household income by assisting with daily needs.- **Emergency Relief Assistance **is meant to meet basic necessities such as food, groceries, transport and other daily expenses only.n- **Short Term Relief Assistance **is meant to tide an individual or family over some time while longer term assistance at a Social Service Office or at another agency is pending approval.n",,https://www.bless.org.sg/our-services/community-connect/neighbourhood-assistance-fund/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6288 9377,enquiries@bless.org.sg,242 Yio Chu Kang Road,"To download the application form, scan this QR code or go to [http://tiny.cc/NAFform](http://tiny.cc/NAFform)"
North East Cancer Warrior Support Scheme,North East CDC,"North East Cancer Warrior Support Scheme aims at providing peace-of-mind assurance, financial assistance and support to women diagnosed with breast cancer.In collaboration with SingHealth and the Health Promotion Board’s Screen for Life programme, the scheme provides mammogram screening at no cost for eligible women in the North East district. North East CDC hopes to encourage Singaporeans to take proactive measures towards their health while promoting the benefits of early detection.",,https://northeast.cdc.gov.sg/programmes/financial-and-social-assistance/cwss/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6424 4000,Northeast_CDC@pa.gov.sg,,"Complete the [Online Form](https://form.gov.sg/641ae50b868d810012bb1188) and upload relevant supporting documents. You may submit additional documents to [Northeast_CDC@pa.gov.sg](mailto:Northeast_CDC@pa.gov.sg). If you have any further queries, you may email us at [Northeast_CDC@pa.gov.sg](mailto:Northeast_CDC@pa.gov.sg)"
North West Emergency Relief Fund,North West CDC,"The North West Emergency Relief Fund was set up in January 2014 to provide immediate temporary relief to tide them through their financial difficulties due to unforeseen circumstances or disaster.
North West CDC identifies the beneficiaries jointly with the Grassroots Organisations in the North West District.",,https://northwest.cdc.gov.sg/programmes/assisting-the-needy/north-west-emergency-relieffund/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6248 5566,northwest_cdc@pa.gov.sg,,
North West Interim Financial Assistance Scheme,North West CDC,The North West Interim Financial Assistance Scheme (IFAS) was set up in April 2022 to provide temporary assistance to vulnerable residents in the North West District to tide them through their financial difficulties. Each approved household will receive up to $500 monetary assistance per financial year.,,https://northwest.cdc.gov.sg/programmes/assisting-the-needy/ifas/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6248 5566,northwest_cdc@pa.gov.sg,,
North West Utilities Assistance Scheme,North West CDC,The North West Utilities Assistance Scheme aims to help needy families facing imminent disconnection to defray their utility expenses. These families will then be able to offset water-related utilities arrears or avoid having their power supply disconnected.,,https://northwest.cdc.gov.sg/programmes/assisting-the-needy/northwest-utilities-assistance-scheme/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6248 5566,northwest_cdc@pa.gov.sg,,
NTUC Care Fund,e-Vouchers,"The NTUC Care Fund (e-Vouchers) programme offers eligible members up to $100 worth of assistance on daily essentials and schools supplies, with an additional $100 for each eligible school-going child and additional $100 per eligible school-going child studying in a special needs school.",,https://www.ntuc.org.sg/uportal/programmes/ntuc-care-fund-e-vouchers,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,,,,<h5>Step 1</h5>Submit online applications via the [OneCARE System](https://ucare.ntuc.org.sg/assistance/ProgrammeDetail?ProgrammeName=evoucher)Successful applicants will receive their e-vouchers by SMS sent to the mobile number that is registered within 30 working days from the application closing date. Note: Sender name is 'NTUC U Care'.SMS will contain the URL to open the e-voucher and a 4-digit pin code. Both will be required to redeem the e-vouchers.**Note: It is important that mobile numbers are updated to receive e-vouchers.**
NTUC Hardship Grant,NTUC Hardship Grant,The NTUC Hardship Grant provides one-off assistance to low-income union members in the event that the member suffers hardship arising from one of the following circumstances which are of a non-industrial nature:- Deathn- Total and permanent incapacityn- Serious chronic medical condition*n- Registered fire or flood victimn** Pre-existing serious chronic medical conditions diagnosed before the applicant became a Union Member will not be considered.*,,https://www.ntuc.org.sg/uportal/programmes/ntuc-hardship-grant,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,,,,"To apply, please click on the link [here](https://ucare.ntuc.org.sg/assistance/)."
ONE Emergency Fund,ONE Emergency Fund,"ONE (SINGAPORE)’s Emergency Fund disburses financial and in-kind assistance to low-income individuals and families in Singapore who urgently need help. The fund was established to help individuals who need assistance, but cannot find it elsewhere, or cannot obtain it in time. Emergency funds are used to pay a utility bill, buy an EZ-link card, purchase prescription spectacles and provide other types of support.",,https://onesingapore.org/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,,info@onesingapore.org,218 Pandan Loop,"**To apply for ONE Emergency Fund assistance**, please fill out the form [here](https://docs.google.com/forms/d/e/1FAIpQLScwYeqvZmTrFUzJ4kH0QNNrhAuEOU0-RcxTJFO5wjFf9R6bXQ/viewform). For other enquiries about the OEF, please contact us [here](mailto:info@onesingapore.org?subject=ONE%20Emergency%20Fund%20(website%20enquiry))."
Patient Assistance Fund,National Arthritis Foundation,"n## Subsidy for Biologics Treatment\n<hr>The costs of biologics agents in the treatment of arthritis are very high. As the financial help provided by Government’s Medisave, Medifund and other schemes may not be sufficient to cover these costs, NAF would provide financial support to help patients defray these costs.n## Subsidy for Transportation Arrangements\n<hr>Where underprivileged arthritis patients require transportation arrangements to shuttle between hospital and home, NAF will help costs.n## Subsidy for Medical Aids/Equipment\n<hr>Where underprivileged arthritis patients require medical aids/equipment to facilitate their treatment or movements, NAF will help to subsidise these costs.n## Subsidy for Diagnostic Tests\n<hr>Where a treating doctor recommends certain diagnostic tests to better treat the arthritic condition, NAF will help to subsidise these costs for underprivileged arthritis patients.n## Physiotherapy\n<hr>NAF provides subsidised rehabilitative home-based physiotherapy sessions.\n\nStarting in March 2024, you may schedule an appointment for a therapist to provide physiotherapy at your home.",,https://naf.org.sg/patient-assistance-fund/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance | Financial Aid and Food Aid , Financial Aid , Medical Subsidies",,6227 9726,info@naf.org.sg,20 North Bridge Road\n#03-38 North Bridge Centre\n,n## **How to apply**nAll applications for NAF Patient Subsidy Care Fund would have to be made through the Medical Social Worker at a Restructured Hospital in Singapore.
Pertapis Welfare Trust Fund,Pertapis Welfare Trust Fund,"PERTAPIS WELFARE TRUST FUND mission is to help to provide welfare assistance to the poor, needy and the lower-income community.The Fund provides monthly food rations and essential support to 500 needy families.Welfare programmes include empowerment education for families and tuition for the school-going children.**​**",,https://www.pertapis.org.sg/support-programs,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance | Financial Aid and Food Aid , Food Aid , Food Rations",,9758 2279,enquiry@pertapis.org.sg,"Blk 1 Joo Chiat Road\n#04-1001, Joo Chiat Complex\n",Please call or WhatsApp 9758 2279 for more details onWelfare Trust Fund (Tabung Amal Jariah)
Project 100=50,Kembangan-Chai Chee PA,Kembangan-Chai Chee’s Project 100=50 seeks to address the needs of middle-income families by providing them an opportunity to purchase their daily necessities or groceries at half the retail price or at a maximum value of $100.,,https://kembangan-chaichee.pa.gov.sg/local-assistance-schemes/project-100-50/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6745 9919,,10 Jalan Ubi,To approach Kampong Ubi CC for assistance
Project Love,New Life Community Services,"Project Love is New Life’s direct financial assistance programme, providing interim assistance for immediate needs as well as fee subsidies for our childcare and student care services. Funds for the programme are donation-driven. Our staff provide casework to help families gain clarity on their financial situation and equip them with financial, so that they are equipped to escape the vicious cycle of poverty.This fund is open to Singapore citizens and Singapore permanent residents. Our primary focus is on families living in Woodlands, Bukit Panjang and the nearby regions.&nbsp; Households situated beyond these areas and foreigners on Long-Term Visit Passes may apply on a case-by-case basis.",,https://newlife.org.sg/what-we-do/casework-counselling/financial-assistance/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6892 7191,casework@newlife.org.sg,"Woods Square Tower 2\n6 Woodlands Square, #03-01","f you wish to apply for Project Love, you may download the [Referral Form](https://newlife.org.sg/wp-content/uploads/2023/10/NL-FA-F000-Rev.-3-Case-Referral-Form-v.2022-03_updated.pdf). Kindly send the completed referral form and enquiries to [casework@newlife.org.sg](mailto:casework@newlife.org.sg)."
RCS BLESS Family,RiverLife Community Services,RCS BLESS Family is a holistic family programme that provides clinical support and financial assistance to the low-income families in the community. We seek to empower and strengthen each member of the family unit through intentional befriending and journeying alongside the families we serve.&nbsp;n## **Programme Features**\n- Grocery Supportn- Family Befriendingn- Frequency: Once a monthn,,https://www.rcs.org.sg/programmes/bless-family/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance | Financial Aid and Food Aid , Financial Aid , Food Rations",,6312 5963,bless@rcs.org.sg,Blk 102 Rivervale Walk\n#01‐54,
SFCCA Hardship Assistance Fund Scheme,CDAC,We provide short-term financial assistance to individuals who are facing financial hardship.,,https://www.cdac.org.sg/supporting-families,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6603 5599,family@cdac.org.sg,,"For appointments or further enquiries, please call us at 6603 5599 during office hours or email family@cdac.org.sg."
Singapore Buddhist Welfare Services - Public Assistance Programme,Singapore Buddhist Welfare Services - Public Assistance Programme,"Launched in 1985, our Public Assistance Programme provides the needy with Monthly Financial Assistance, in the form of cash grants and/or Monthly Food Rations, based on the needs of beneficiaries as assessed through home visits conducted every 6 months. Both assistance schemes are targeted to support needy beneficiaries, by alleviating their financial constraints and meeting their basic needs for meals. We serve applicants who are referred by hospitals, family service centres, grassroots organisations and public agencies.
Our Monthly Financial Assistance scheme aims to provide monthly pocket allowance to needy students, who face special hardship circumstances and require regular financial assistance, to help them with daily expenses, such as meal and transport expenses.
Monthly food rations scheme involves the collection, packing and delivery of food items on monthly basis, to needy individuals and families with financial difficulties. A stringent procedure is in place to assess the financial profiles of applicants or referrals, thus ensuring that only needy clients benefit from the service. Even in our affluent society today, there are many families and individuals who need your help for basic necessities that many of us take for granted. SBWS has been distributing food rations monthly to elderly seniors and families with financial difficulties, regardless of race or religion.",,https://sbws.org.sg/en/home/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance | Financial Aid and Food Aid , Food Aid , Food Rations",,6489 8161,sbws@sbws.org.sg,105 Punggol Road,"CONTACT SINGAPORE BUDDHIST WELFARE SERVICES
105 PUNGGOL ROAD SINGAPORE 546636
TEL: (+65) 6489 – 8161; FAX: (+65) 6387 – 7887
EMAIL: SBWS@SBWS.ORG.SG"
SMU Postgraduate Emergency Grant,SMU,The SMU Postgraduate Emergency Grant is a one-off emergency financial grant by SMU to assist postgraduate students facing unforeseen financial crisis and would require interim financial assistance while their families seek for long-term solutions to meet their financial needs. &nbsp;,,https://masters.smu.edu.sg/smu-postgraduate-emergency-grant,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,,finasst@smu.edu.sg,,<h3>APPLICATION</h3>Please apply via OASIS (Self-Service Application - Financial Aid Application) by completing the “Application for Emergency Grant” form.
South West Caregiver Support Fund,South West CDC,"The South West Caregiver Support Fund is an interim one-time assistance of $800, to help caregivers defray self-care and caregiving expenses.",,https://southwest.cdc.gov.sg/what-we-do/for-caregivers/csf/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6316 1616,South_West_assistance@pa.gov.sg,,
South West Community Caring Fund,South West CDC,South West Community Caring Fund provide immediate support of $250 to the following two groups to defray child-raising expenditure and cope with daily expenses.,,https://southwest.cdc.gov.sg/what-we-do/for-assistance/caringfund/,,,"Financial Aid and Food Aid , Financial Aid , Cash Assistance",,6316 1616,southwest_cdc@pa.gov.sg,,"To apply, visit [https://go.gov.sg/swcaringfund](https://go.gov.sg/swcaringfund) Please get ready the following supporting documents:- Latest income slip or CPF Statement of applicant and all working family members of the householdn- Birth certificates (if any)n"
