,Scheme,Description,Agency,Image,Link,Who It's For,What It Gives,Scheme Type
4627,Ahuva Good Shepherd ñ Childrenís Home,"Ahuva Good Shepherd ñ Childrenís Home was set up in 2006 to provide a safe and nurturing residential environment for young girls, aged 4 to 16. They had experienced challenges in their families, such as financial difficulties, divorce, domestic violence, various forms of abuse and parentsí incarceration.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,https://marymountctr.org.sg/ahuva-good-shepherd-2/,Teenage girls,Counselling,Education
4628,Ahuva Good Shepherd ñ Childrenís Home,"Ahuva Good Shepherd ñ Childrenís Home was set up in 2006 to provide a safe and nurturing residential environment for young girls, aged 4 to 16. They had experienced challenges in their families, such as financial difficulties, divorce, domestic violence, various forms of abuse and parentsí incarceration.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,https://marymountctr.org.sg/ahuva-good-shepherd-2/,Teenage girls,Housing,Children
4629,Ahuva Good Shepherd ñ Childrenís Home,"Ahuva Good Shepherd ñ Childrenís Home was set up in 2006 to provide a safe and nurturing residential environment for young girls, aged 4 to 16. They had experienced challenges in their families, such as financial difficulties, divorce, domestic violence, various forms of abuse and parentsí incarceration.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,https://marymountctr.org.sg/ahuva-good-shepherd-2/,Teenage girls,Housing,Family
4630,Ahuva Good Shepherd ñ Childrenís Home,"Ahuva Good Shepherd ñ Childrenís Home was set up in 2006 to provide a safe and nurturing residential environment for young girls, aged 4 to 16. They had experienced challenges in their families, such as financial difficulties, divorce, domestic violence, various forms of abuse and parentsí incarceration.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,https://marymountctr.org.sg/ahuva-good-shepherd-2/,Teenage girls,Housing,Youth-at-Risk
4631,Ahuva Good Shepherd ñ Childrenís Home,"Ahuva Good Shepherd ñ Childrenís Home was set up in 2006 to provide a safe and nurturing residential environment for young girls, aged 4 to 16. They had experienced challenges in their families, such as financial difficulties, divorce, domestic violence, various forms of abuse and parentsí incarceration.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,https://marymountctr.org.sg/ahuva-good-shepherd-2/,Teenage girls,Housing,Homeless
4632,Ahuva Good Shepherd ñ Childrenís Home,"Ahuva Good Shepherd ñ Childrenís Home was set up in 2006 to provide a safe and nurturing residential environment for young girls, aged 4 to 16. They had experienced challenges in their families, such as financial difficulties, divorce, domestic violence, various forms of abuse and parentsí incarceration.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,https://marymountctr.org.sg/ahuva-good-shepherd-2/,Teenage girls,Housing,Housing
4633,Ahuva Good Shepherd ñ Childrenís Home,"Ahuva Good Shepherd ñ Childrenís Home was set up in 2006 to provide a safe and nurturing residential environment for young girls, aged 4 to 16. They had experienced challenges in their families, such as financial difficulties, divorce, domestic violence, various forms of abuse and parentsí incarceration.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,https://marymountctr.org.sg/ahuva-good-shepherd-2/,Teenage girls,Housing,Women
4634,Ahuva Good Shepherd ñ Childrenís Home,"Ahuva Good Shepherd ñ Childrenís Home was set up in 2006 to provide a safe and nurturing residential environment for young girls, aged 4 to 16. They had experienced challenges in their families, such as financial difficulties, divorce, domestic violence, various forms of abuse and parentsí incarceration.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,https://marymountctr.org.sg/ahuva-good-shepherd-2/,Teenage girls,Housing,Education
4635,Enhanced STEP-UP,"ESU is a 12-month support programme provided by Integrated Service Providers (ISPs) for students at risk of dropping out of school and youth who are out of school. Depending on the needs of the client, the programme may be extended for an additional 12 months.

The ESU aims for the client to:

Remain in or return to school; or
Be engaged in work skills training or employment.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://www.msf.gov.sg/policies/Children-and-Youth/Rebuilding-Children-and-Youth/Outreach-and-Support-for-Youth/Pages/Enhanced-STEP-UP.aspx,Children,School and employment support for youths,Youth-at-Risk
4636,Enhanced STEP-UP,"ESU is a 12-month support programme provided by Integrated Service Providers (ISPs) for students at risk of dropping out of school and youth who are out of school. Depending on the needs of the client, the programme may be extended for an additional 12 months.

The ESU aims for the client to:

Remain in or return to school; or
Be engaged in work skills training or employment.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://www.msf.gov.sg/policies/Children-and-Youth/Rebuilding-Children-and-Youth/Outreach-and-Support-for-Youth/Pages/Enhanced-STEP-UP.aspx,Children,School and employment support for youths,Education
4637,Enhanced STEP-UP,"ESU is a 12-month support programme provided by Integrated Service Providers (ISPs) for students at risk of dropping out of school and youth who are out of school. Depending on the needs of the client, the programme may be extended for an additional 12 months.

The ESU aims for the client to:

Remain in or return to school; or
Be engaged in work skills training or employment.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://www.msf.gov.sg/policies/Children-and-Youth/Rebuilding-Children-and-Youth/Outreach-and-Support-for-Youth/Pages/Enhanced-STEP-UP.aspx,Children,School and employment support for youths,Work
4638,Enhanced STEP-UP,"ESU is a 12-month support programme provided by Integrated Service Providers (ISPs) for students at risk of dropping out of school and youth who are out of school. Depending on the needs of the client, the programme may be extended for an additional 12 months.

The ESU aims for the client to:

Remain in or return to school; or
Be engaged in work skills training or employment.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://www.msf.gov.sg/policies/Children-and-Youth/Rebuilding-Children-and-Youth/Outreach-and-Support-for-Youth/Pages/Enhanced-STEP-UP.aspx,Youths,School and employment support for youths,Youth-at-Risk
4639,Enhanced STEP-UP,"ESU is a 12-month support programme provided by Integrated Service Providers (ISPs) for students at risk of dropping out of school and youth who are out of school. Depending on the needs of the client, the programme may be extended for an additional 12 months.

The ESU aims for the client to:

Remain in or return to school; or
Be engaged in work skills training or employment.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://www.msf.gov.sg/policies/Children-and-Youth/Rebuilding-Children-and-Youth/Outreach-and-Support-for-Youth/Pages/Enhanced-STEP-UP.aspx,Youths,School and employment support for youths,Education
4640,Enhanced STEP-UP,"ESU is a 12-month support programme provided by Integrated Service Providers (ISPs) for students at risk of dropping out of school and youth who are out of school. Depending on the needs of the client, the programme may be extended for an additional 12 months.

The ESU aims for the client to:

Remain in or return to school; or
Be engaged in work skills training or employment.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://www.msf.gov.sg/policies/Children-and-Youth/Rebuilding-Children-and-Youth/Outreach-and-Support-for-Youth/Pages/Enhanced-STEP-UP.aspx,Youths,School and employment support for youths,Work
4641,"Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS)","The Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS) at the Child Guidance Clinic provides comprehensive and integrated multi-disciplinary assessment and intervention services for the following groups facing mental health issues:

Young offenders
Youth-at-risk of committing offences
Victims of child abuse
Children and parents involved in complex custody and access disputes",Institute of Mental Health,https://chidnast.sirv.com/SchemesSG/imh.jpg,https://www.imh.com.sg/clinical/page.aspx?id=262,Youth-at-risk,Mental health assessment and treatment,Youth-at-Risk
4642,"Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS)","The Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS) at the Child Guidance Clinic provides comprehensive and integrated multi-disciplinary assessment and intervention services for the following groups facing mental health issues:

Young offenders
Youth-at-risk of committing offences
Victims of child abuse
Children and parents involved in complex custody and access disputes",Institute of Mental Health,https://chidnast.sirv.com/SchemesSG/imh.jpg,https://www.imh.com.sg/clinical/page.aspx?id=262,Youth-at-risk,Mental health assessment and treatment,Mental Health
4643,"Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS)","The Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS) at the Child Guidance Clinic provides comprehensive and integrated multi-disciplinary assessment and intervention services for the following groups facing mental health issues:

Young offenders
Youth-at-risk of committing offences
Victims of child abuse
Children and parents involved in complex custody and access disputes",Institute of Mental Health,https://chidnast.sirv.com/SchemesSG/imh.jpg,https://www.imh.com.sg/clinical/page.aspx?id=262,Facing abuse,Mental health assessment and treatment,Youth-at-Risk
4644,"Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS)","The Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS) at the Child Guidance Clinic provides comprehensive and integrated multi-disciplinary assessment and intervention services for the following groups facing mental health issues:

Young offenders
Youth-at-risk of committing offences
Victims of child abuse
Children and parents involved in complex custody and access disputes",Institute of Mental Health,https://chidnast.sirv.com/SchemesSG/imh.jpg,https://www.imh.com.sg/clinical/page.aspx?id=262,Facing abuse,Mental health assessment and treatment,Mental Health
4645,"Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS)","The Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS) at the Child Guidance Clinic provides comprehensive and integrated multi-disciplinary assessment and intervention services for the following groups facing mental health issues:

Young offenders
Youth-at-risk of committing offences
Victims of child abuse
Children and parents involved in complex custody and access disputes",Institute of Mental Health,https://chidnast.sirv.com/SchemesSG/imh.jpg,https://www.imh.com.sg/clinical/page.aspx?id=262,Divorce,Mental health assessment and treatment,Youth-at-Risk
4646,"Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS)","The Forensic Rehabilitation, Intervention, Evaluation & Network Development Services (FRIENDS) at the Child Guidance Clinic provides comprehensive and integrated multi-disciplinary assessment and intervention services for the following groups facing mental health issues:

Young offenders
Youth-at-risk of committing offences
Victims of child abuse
Children and parents involved in complex custody and access disputes",Institute of Mental Health,https://chidnast.sirv.com/SchemesSG/imh.jpg,https://www.imh.com.sg/clinical/page.aspx?id=262,Divorce,Mental health assessment and treatment,Mental Health
4647,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Children,Weekly activities for children,Education
4648,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Children,Weekly activities for children,Children
4649,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Children,Weekly activities for children,Low Income
4650,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Children,Weekly activities for children,Family
4651,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Children,Education,Education
4652,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Children,Education,Children
4653,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Children,Education,Low Income
4654,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Children,Education,Family
4655,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Low income,Weekly activities for children,Education
4656,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Low income,Weekly activities for children,Children
4657,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Low income,Weekly activities for children,Low Income
4658,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Low income,Weekly activities for children,Family
4659,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Low income,Education,Education
4660,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Low income,Education,Children
4661,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Low income,Education,Low Income
4662,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Low income,Education,Family
4663,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Single parent,Weekly activities for children,Education
4664,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Single parent,Weekly activities for children,Children
4665,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Single parent,Weekly activities for children,Low Income
4666,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Single parent,Weekly activities for children,Family
4667,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Single parent,Education,Education
4668,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Single parent,Education,Children
4669,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Single parent,Education,Low Income
4670,TOUCH Young Arrows (TYA),"With a committed team of volunteer coaches and a low volunteer-child ratio, TYA conducts weekly Saturday programmes to meet the children's social, emotional and educational needs, and to bring out the best of their potential.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-young-arrows-homepage,Single parent,Education,Family
4671,Youth Reach,"YouthReach is dedicated in supporting our youths through our drop in services. Here in the Centre, the youths are supported in their academic work, in talent discovery and grooming. The centre has anchored the youths not just in programmes and activities but also in establishing a healthy channel for youths to get support through their developmental years from our caring and dedicated staff and volunteers. Programmes include: Japanese drumming, live jamming, life skills training, tuition, counselling and group work.",Catholic Welfare Services & Boys' Town,https://chidnast.sirv.com/SchemesSG/cwsbt.jpg,https://www.youthreach.org.sg/programmes/drop-in.html,Youth,Drop in service,Education
4672,Youth Reach,"YouthReach is dedicated in supporting our youths through our drop in services. Here in the Centre, the youths are supported in their academic work, in talent discovery and grooming. The centre has anchored the youths not just in programmes and activities but also in establishing a healthy channel for youths to get support through their developmental years from our caring and dedicated staff and volunteers. Programmes include: Japanese drumming, live jamming, life skills training, tuition, counselling and group work.",Catholic Welfare Services & Boys' Town,https://chidnast.sirv.com/SchemesSG/cwsbt.jpg,https://www.youthreach.org.sg/programmes/drop-in.html,Youth,Drop in service,Youth
4673,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Educational programmes,Homeless
4674,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Educational programmes,Housing
4675,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Educational programmes,Youth-at-Risk
4676,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Educational programmes,Family Violence
4677,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Educational programmes,Mental health
4678,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Counsellling,Homeless
4679,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Counsellling,Housing
4680,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Counsellling,Youth-at-Risk
4681,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Counsellling,Family Violence
4682,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Counsellling,Mental health
4683,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Mental health/mental health support,Homeless
4684,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Mental health/mental health support,Housing
4685,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Mental health/mental health support,Youth-at-Risk
4686,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Mental health/mental health support,Family Violence
4687,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Mental health/mental health support,Mental health
4688,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Emotional care,Homeless
4689,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Emotional care,Housing
4690,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Emotional care,Youth-at-Risk
4691,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Emotional care,Family Violence
4692,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Emotional care,Mental health
4693,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Housing,Homeless
4694,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Housing,Housing
4695,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Housing,Youth-at-Risk
4696,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Housing,Family Violence
4697,The Tent,"Serves teenage girls (11-19 yrs) who :

come from broken and dysfunctional families.
are abused and in need of care and protection.
exhibit behavioural problems.
are in need of crisis shelter.",The Tent,https://chidnast.sirv.com/SchemesSG/thetent.jpg,http://www.thetent.org.sg/,Teenage girls,Housing,Mental health
4698,The Children's Home,"Chen Su Lan Methodist Children's Home (CSLMCH) provides temporary shelter, care and protection to boys and girls between the ages of 5 and 21 years old who come from needy and disadvantaged families in Singapore.",Chen Su Lan Methodist Children's Home,https://chidnast.sirv.com/SchemesSG/csl.jpg,https://www.cslmch.org.sg/residential.html,Children,Educational programmes,Homeless
4699,The Children's Home,"Chen Su Lan Methodist Children's Home (CSLMCH) provides temporary shelter, care and protection to boys and girls between the ages of 5 and 21 years old who come from needy and disadvantaged families in Singapore.",Chen Su Lan Methodist Children's Home,https://chidnast.sirv.com/SchemesSG/csl.jpg,https://www.cslmch.org.sg/residential.html,Children,Educational programmes,Housing
4700,The Children's Home,"Chen Su Lan Methodist Children's Home (CSLMCH) provides temporary shelter, care and protection to boys and girls between the ages of 5 and 21 years old who come from needy and disadvantaged families in Singapore.",Chen Su Lan Methodist Children's Home,https://chidnast.sirv.com/SchemesSG/csl.jpg,https://www.cslmch.org.sg/residential.html,Children,Educational programmes,Youth-at-Risk
