Scheme,Description,Agency,Image,Link,Who's it for,What it gives,Scheme Type,search_booster(WL)
Car Park Label Scheme For Persons With Physical Disabilities,Car Park Label Scheme provides persons with physical disabilities or their caregivers with access to designated disabled parking spaces so that they can open the vehicle doors fully to board or alight from the vehicle.,SG Enable,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/transport/car-park-label-scheme,"PWDs,Caregivers",Car park label for PWDs,"Elderly,Caregiver,Transport","Caregiver transporting elderly around, need convenient transport."
Developmental Disabilities Registry Identity (DDRID) Card,"The DDRID card offers a benefits scheme that provides cardholders with discounted rates for services and access to various facilities. Cardholders can also enjoy discounted rates for products, services and access to facilities offered by participating companies",SG Enable,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/child-adult-care,PWDs,Benefits like discounted rates and access to facilities for PWDs,PWD,"Discounts, disabled, PWD, persons with disabily"
Disabled Persons Scheme,Waiver of Additional Registration Fee (ARF) and Certificate of Entitlement (COE) for persons with permanent physical disabilities who are medically certified as unable to take public transport (i.e. bus and/or MRT) and who require a vehicle to earn a living.,SG Enable,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/docs/default-source/default-document-library/faq-schemes-disabled-persons-scheme.pdf?sfvrsn=9a8a6dce_2,PWDs,Transport perks for PWDs,Healthcare,"Disabled, need to drive Grab, vehicle expensive, car COE too high, cannot take public transport"
Early Intervention Programme for Infants and Children – P (EIPIC-P),Subsidy scheme that offers more choices of early intervention programmes for children who have been referred for the Early Intervention Programme for Infants and Children (EIPIC). Parents who choose to enroll their children in selected Private Intervention Centres (PIC)s will receive subsidies that will help defray the enrolment costs.,SG Enable,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/therapy-intervention/early-intervention-programme-for-infants-and-children-p,Special needs children,Educational intervention for special needs children,"PWD,Childcare","Subsidy for special needs education, special needs intervention, autism, down's syndrome"
Persons with Disabilities Concession Card,"Travel concession card for PWDs. Grants 25% discount or more off adult fares for all basic bus and train services fares, no additional fares for distances beyond 7.2km. Option to purchase a Hybrid Concession Pass (HCP) with unlimited rides on basic bus services and trains at $60 per month",SG Enable,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/transport/persons-with-disabilities-concession-card,PWDs,Transport assistance for PWDs,"PWD,Transport","Disabled, travelling, travel, transport, special needs"
Taxi Subsidy Scheme,"Means-tested subsidy for taxi travel for the purpose of school, work or employment-related training supported by SG Enable",SG Enable,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/transport/taxi-subsidy-scheme,PWDs,Transport subsidy,"PWD,Transport","Disabled, travelling, travel, transport, special needs"
VWO Transport Subsidy Scheme,"Up to 80% subsidy for transport fees supporting eligible SC/PRs with disabilities who need to use dedicated transport provided by the Social Service Agencies (SSAs) to access the Early Intervention Programme for Infants and Children (EIPIC), Special Education (SPED) schools, Day Activity Centres (DACs), Sheltered Workshops (SWs) and Special Student Care Centres (SSCCs).",SG Enable,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/transport/enabling-transport-subsidy,"Caregivers,PWDs",Transport subsidy for PWDs,"PWD,Transport","Disabled, travelling, travel, transport, special needs"
Subsidized counselling and psychotherapy,"Subsidized face-to-face counselling and psychotherapy for individuals, couples and families.",Shan You Counselling Centre,https://chidnast.sirv.com/SchemesSG/shanyou.jpg,https://www.shanyou.org.sg/our-services/shan-youcounselling-centre/,"Individuals,Couples,Families","Counselling,Psychotherapy",Mental Health,"subsidized counselling, mental health issues, family problems, relationship issues"
SHINE Children & Youth Services,"SHINE servces vulnerable children, youth and their families in Singapore, enabling them to maximise their potential. Services include school social work, community social work, educational psychology services for those with learning difficulties and disabilities, and targeted interventions including home decluttering.",SHINE Children & Youth Services,https://chidnast.sirv.com/SchemesSG/shine.jpg,https://www.shine.org.sg/,"Children,Youth,Youth with special needs","Youth services,Educational programmes,Mental healthcare,Decluttering","Youth,Children,Special Needs","my child has learning needs, my child has learning difficulties, my child has learning disabilities, hoarding"
Financial Assistance and Food on the Table Program,The objective of the Financial Assistance & Food on the Table Program is to provide support to Singaporean families in need for financial or other type of assistance.,Sikh Welfare Council,https://chidnast.sirv.com/SchemesSG/siwec.jpg,https://www.siwec.org/our-services/family-support-services/financial-assistance-food-on-the-table,Low income families,Food,"Low Income,Food","financial, food ration, hungry, have not eaten for days, no food"
Silver Ribbon,"Provide basic counselling services at the branches below by appointment:
 1. H.O.L.A. - Hang On Life's Awesome
 Blk 208, Serangoon Central #01-238 S(550208) (Tel: 6386 1928)
 2. The Linkage
 Wisma Geylang Serai, 1 Engku Aman Turn Level 4 S(408528) (Tel: 6509 0271)
 3. Raintree Sanctuary
 Blk 550, Hougang Street 51 #01-168 S(530550) (Tel: 6385 3714)",Silver Ribbon,https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/SilverRibbon.jpg,https://www.silverribbonsingapore.com/counselling.html,Mental Health,"Counselling,Emotional Care,Mental healthcare",Mental Health,"I need help, I am very stressed, I need someone to talk too, Cannot sleep, Very worried, depressed, need help, Going crazy"
Befriending Support,"Through one-to-one befriending, clients will be paired up with a volunteer who will journey with them during the aftercare phase of reintegration. This includes discussing release plans, identifying main problem areas to work upon his/her release and providing support to address any issues affecting rehabilitation.",Singapore After-Care Association (SACA),https://chidnast.sirv.com/SchemesSG/saca.jpg,https://www.saca.org.sg/befriending,"Ex-offenders,Families of ex-offenders","Counselling,Emotional support,Job referral",Ex-offender,"free tuition, children of ex-offender, children of ex-convict, bonding activities, support group, befriender"
Case Management Programme,"SACA provides holistic support to ex-offenders that addresses lack of knowledge on upgrading opportunities, lack of family support and guidance, as well as financial constraints.",Singapore After-Care Association (SACA),https://chidnast.sirv.com/SchemesSG/saca.jpg,https://www.saca.org.sg/case-management,Ex-offenders,"Casework,counselling","Family,Children,Ex-offender,Low Income,Education","free tuition, children of ex-offender, children of ex-convict, counselling for ex-convict, yellow ribbon"
Education Support Programmes,Educational programmes to assist ex-offenders who are keen on furthering their education to achieve their goals,Singapore After-Care Association (SACA),https://chidnast.sirv.com/SchemesSG/saca.jpg,https://www.saca.org.sg/education-upskilling,Ex-offenders,"Financial assistance,Vocational training,Employment assistance,Counselling,Befriender services","Family,Children,Ex-offender,Low Income,Education","ex-offender want to study, ex-convict want to study"
Residential Rehabilitation Services (Simei/ Hougang),Singapore Anglican Community Services provides short and medium term residential care for persons with mental health issues (PMHI) in a therapeutic environment to support their recovery process. Personalised rehabilitation programmes are designed to help them develop independent living skills. They are encouraged to practise self-care by maintaining personal hygiene and doing their own chores. Shared amenities and communal spaces are also in place for clients to allow for social engagement and build their confidence for reintegration into the community.,Singapore Anglican Community Services,https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/sacs.jpg,https://sacs.org.sg/psychiatric-services/residential-rehabilitation-services.html,"Mental Health,Caregiver,Special needs,Persons with mental health issues","Residential Care,Mental health/mental health support","Mental health,Residential care","Psychiatric home, mental health patients, need a place for mentally ill to stay, need help to take care of mentally ill"
Day Rehabilitation Services (Simei/Hougang),"By adopting the adapted Clubhouse Model, Day Rehabilitation Services facilitate persons with mental health issues (PMHI) in achieving rehabilitation goals and recovery through different work units according to the members’ interest and preference. Practical life skills training, such as Wellness and Recovery Action Plans (WRAP), helps to empower them to sustain their recovery in the community. Social and recreational activities are organised to strengthen their ability to integrate into the community.",Singapore Anglican Community Services,https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/sacs.jpg,https://sacs.org.sg/psychiatric-services/day-rehabilitation-services.html,"Mental Health,Special needs,Persons with mental health issues","Skills training for job,Employment assistance,Mental health/mental health support","Mental health,Rehabilitation,Day centre","Psychiatric day centre, rehabilitation, work training, employment training, skills training for mental problems"
Psychiatric Sheltered Home (Farrer Park),The centre is an integral part of SACS continuum of care for persons with mental health issues who need temporary accommodation and can live independently with some form of gainful employment. It has a capacity to serve 60 adults and 20 youths. Counselling and case management support are offered to strengthen clients’ independence so that they can better reintegrate into the community.,Singapore Anglican Community Services,https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/sacs.jpg,https://sacs.org.sg/psychiatric-services/psychiatric-sheltered-home.html,"Mental Health,Special needs,Persons with mental health issues","Housing,Skills training for job,Employment assistance","Mental health,Psychiatric sheltered home,Housing","Psychiatric home, temporary shelter, temporary housing, employment support, learn skills to get job"
Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,"Women,Children","Housing,Casework,Counselling,Educational programmes,Emotional care","Women,Children,Housing","domestic abuse, abusive parents, need place to stay, violent father/mother, kick out of house, homeless teenager, homeless girl"
Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clients’ potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,"In need of mental healthcare,Employment","Employment assistance,Vocational training,Job matching","Mental Health,Employment","mental illness, depression, schizophrenia, bipolar, anxiety, job support, career counselling"
Residential Rehabilitation Services,Singapore Anglican Community Services provides short and medium term residential care for persons with mental health issues (PMHI) in a therapeutic environment to support their recovery process. Personalised rehabilitation programmes are designed to help them develop independent living skills. They are encouraged to practise self-care by maintaining personal hygiene and doing their own chores. Shared amenities and communal spaces are also in place for clients to allow for social engagement and build their confidence for reintegration into the community.,Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/residential-rehabilitation-services.html,Persons with mental health issues,Residential rehabilitation programme,"Residential programme,Mental Health","Step down care for psychiatric patients, residential care for patients with mental health"
Medical Service TCM,Singapore Buddhist Free Clinic provides the general public with outpatient consultation in Traditional Chinese medicine (TCM) including acupuncture.,Singapore Buddhist Free Clinic,https://chidnast.sirv.com/SchemesSG/sg-buddhist-free-clinic.jpg,https://www.sbfc.org.sg/medical-service,General public,Free TCM,Healthcare,"Poor, no money to see doctor, healthcare subsidy, can't afford medical fees, free healthcare"
"Cancer Care Fund, Welfare Aid Fund, Cancer Treatment Fund","The Cancer Care Fund is a one-time financial assistance scheme to alleviate the financial burden of newly-diagnosed cancer patients from low or middle income families within the first 6 months of diagnosis.The Welfare Aid fund provides temporary financial assistance and/or medical supplies to enhance the well-being of needy cancer patients. Medical supplies include the supply of milk, diapers, medical dressings, stoma bags and other medical equipment. The Cancer Treatment Fund provides financial assistance to needy cancer patients to subsidise part of their cancer treatment costs.",Singapore Cancer Society,https://chidnast.sirv.com/SchemesSG/scs.jpg,https://www.singaporecancersociety.org.sg/get-help/cancer-patient/financial-assistance-schemes/apply-for-financial-assistance.html,"Cancer patients,Caregivers",Financial assistance for cancer patients,Healthcare,"oncologist, radiology"
Star Shelter,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.",Singapore Council of Women's Organisations,https://chidnast.sirv.com/SchemesSG/scwo.jpg,https://www.scwo.org.sg/what-we-do/services/star-shelter/,"Facing abuse,Need shelter","Shelter,Protection against violence","Homeless,Family Violence","Family violence, abusive spouse, husband hit, wife hit"
Mediacorp Enable Fund,"The fund benefits persons with disabilities. MEF provides financial support for persons with disabilities pursuing aspirations such as education, work, or in achieving meaningful objectives.",Singapore Disability Sports Council (SDSC),https://chidnast.sirv.com/SchemesSG/sdsc.jpg,https://sdsc.org.sg/sdsc_support_program/mediacorp-enable-fund/,PWDs,Financial assistance for education,"PWD,Education","Disabled, paralympian, study, scholarship, bursary, education"
Heart Support Fund,Singapore Heart Foundation provides financial assistance to needy heart patients through the Heart Support Fund.,Singapore Heart Foundation,https://chidnast.sirv.com/SchemesSG/shf.jpg,https://www.myheart.org.sg/programmes/cardiac-rehabilitation-and-heart-wellness/heart-support-fund/,Heart patients,Financial assistance for heart patients,"Low Income,Healthcare,Loss of Breadwinner","Heart disease, stroke, coronary patients"
Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,"Facing end of life,Elderly,Caregivers","End of life care,Emotional care","Healthcare,End-of-Life","Hospice, Low Income, Palliative, Dying, Old, Elderly, Sick, Caregiver, Dying father, Dying mother"
SINDA Family Service Centre (SFSC),"The SFSC serves as a one-stop information and referral center, offering social work and counseling services to individuals and families facing challenges in personal, marital, and family life. Experienced social work practitioners assess cases, conduct home visits, and provide referrals and assistance to clients.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-family-service-centre/,Individuals and families facing personal or family challenges,"Counseling, information, and referral services","Family, Counseling","family support, counseling services, marital issues, family challenges, social work, Indian community support"
Senior Day Care Subsidy,This scheme provides eligible Indian seniors aged 60 and above with subsidies of up to $500 per month for day care center fees. It aims to support low-income families in managing the cost of senior care services,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/day-care/,Indian seniors aged 60 and above from low-income families,Financial assistance for senior day care fees,"Elderly, Financial Assistance","elderly care, senior day care, financial aid for seniors, Indian elderly support, day care subsidy"
Transport Voucher Scheme,"This scheme provides transport vouchers to the elderly, persons with disabilities, pregnant mothers with financial concerns, and clients with chronic health issues, easing the burden of transport costs and making medical appointments more accessible.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/transport-voucher/,"Elderly, PWDs, pregnant mothers, individuals with chronic health issues",Transport vouchers for medical appointments,"Transport, Healthcare","transport assistance, medical transport aid, elderly mobility support, Indian community transport help, healthcare access"
SINDA Community Impact Fund,"The SINDA Community Impact Fund supports individuals and organizations implementing innovative, ground-up solutions that generate positive and sustainable social impact within the Indian community. It encourages community-driven initiatives and projects.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda-grants.org/,Individuals and organizations with community projects,Funding for community impact projects,"Community, Funding","community projects funding, social impact grants, Indian community initiatives, grassroots solutions, SINDA support"
Legal Clinic,"The legal clinic offers free legal services to Indian families in need. Lawyers from accredited law firms offer their services on a pro-bono basis, and will explain to clients the relevant legal procedures, legal terms and inform them of the estimated costs they may incur and support systems that they can tap on.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/legal-clinic/,In need of legal aid,Legal services,Low Income,"Indians, Low Income, financial assistance, Comcare, vulnearable families"
Pre-School Bursary,SINDA’s pre-school bursary helps Indian children from low-income families with costs relating to pre-school education. Children must be aged seven years old and below and must already be receiving additional subsidy from Early Childhood Development Agency (ECDA) before applying for the Bursary. This Bursary is especially helpful to parents who are keen to enroll their children in an ECDA-Registered Childcare Centre.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/pre-school-bursary/,"Indian community,Children from low income families,Low income families",Financial assistance,"Education,Childcare","Indians, Lower Income, Low Income, pre-school, nursery, kindergarten, childcare"
SINDA-SIET Tertiary Bursary,SIET grants bursaries to deserving full-time Indian students who are experiencing financial difficulties and are currently enrolled in approved government-aided post-secondary institutions.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-siet/,"Indian community,Children from low income families,Low income families",Financial assistance,Education,"Bursary, school fees, education, poor, children no money to study"
Project Athena,"Project Athena empowers single Indian mothers to become confident, independent, self-sufficient, and resilient individuals. It offers support through individual counseling, group therapy, and a strong support network to help them build stronger bonds with their children.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/family/project-athena/,Single Indian mothers seeking empowerment and support,"Counseling, group therapy, support network","Women, Family Support","single mother support, women's empowerment, Indian mothers assistance, family counseling, resilience building"
DigitalAccess@Home NEU PC Plus Programme,"In collaboration with IMDA, SINDA offers the NEU PC Plus Programme, providing low-income households with students or persons with disabilities the opportunity to own a computer at an affordable price, promoting digital literacy and access.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/dah/,Low-income Indian families with students or PWDs,Affordable computers for home use,"Tech, Education","digital inclusion, affordable computers, student tech support, Indian community digital access, NEU PC Plus"
Singapore Red Cross' TransportAid,"Singapore Red Cross’ TransportAid service helps the elderly and disabled from low-income homes get to and from their healthcare service facilities, such as medical treatments, rehabilitation and day activity centres. The TransportAid service is offered at subsidised rates, based on means testing results that are assessed by social workers. 
 Call 6337 3333 or email us at transportaid@redcross.sg for more information or assistance on Transport Aid.",Singapore Red Cross,https://chidnast.sirv.com/SchemesSG/redcross.jpg,https://www.redcross.sg/get-assistance/transportaid.html,Elderly and people with physical/mobiliy difficulties from low income families,Medical transport,Transport,"Need help to go to the hospital, Need transport to go see doctor"
The STF Hardship Assistance Scheme,The STF Hardship Assistance Scheme aims to assist Singaporean families when they lose the support of their sole or main breadwinner due to unforeseen circumstances. They provide short-term supplementary financial assistance for the family to regain their footing in life.,Singapore Teochew Foundation,https://chidnast.sirv.com/SchemesSG/stf.jpg,https://singaporeteochewfoundation.com.sg/#hardship,Families who have just lost a breadwinner,Financial assistance for families who have lost breadwinner,"Low income,Family","husband passed away, husband died, father passed away, father died, no more breadwinner, sole source of livelihood gone"
Caregiving @ South West,"To support caregivers in training, resources and services through creation of a seamless and conducive environment for caregivers. To empower our community in areas of caregiving by engaging trained or past caregivers to volunteer as respite caregivers or serve as community caregivers (social employment); and organise activities in support of caregiving.",South West District CDC,https://chidnast.sirv.com/SchemesSG/swcdc.jpg,https://southwest.cdc.gov.sg/what-we-do/for-caregivers/caregiving/,Caregivers,"Emotional care,Educational programmes,Financial assistance for education","Mental health,Healthcare,Caregiver, Elderly,Children,Family","burnout, tired, lonely, taking care of, sole caregiver, no rest, dementia, elderly, special needs, disabled, depression, mental health, schizophrenia, mentally ill, alzheimer, self harm, respite, workshop, skills training, cannot afford, need to pay, medical bills, see doctor, hospital checkup, no time, caregiving"
South West Caregiver Support Fund,"The South West Caregiver Support Fund is an interim one-time assistance of $500, to help caregivers defray self-care and caregiving expenses.",South West District CDC,https://chidnast.sirv.com/SchemesSG/swcdc.jpg,https://southwest.cdc.gov.sg/what-we-do/for-caregivers/csf/,Caregivers,Financial assistance,"Mental health,Healthcare,Caregiver,Elderly,Children,Family,Low Income","burnout, tired, lonely, taking care of, sole caregiver, no rest, dementia, elderly, special needs, disabled, depression, mental health, schizophrenia, mentally ill, alzheimer, self harm, respite, workshop, skills training, cannot afford, need to pay, medical bills, see doctor, hospital checkup, no time, caregiving"
Tabung Amal Aidifitri Trust Fund,"TAA Trust Fund (Tabung Amal Aidilfitri Trust Fund) was founded in 1992 with a mission to help the poor, needy and the less fortunate. Additionally, TAA beneficiaries include patients from low-income families who suffer from chronic diseases and illnesses such as kidney failure, stroke, cancer and diabetes.",Tabung Amal Aidilfitri Trust Fund,https://chidnast.sirv.com/SchemesSG/taa.jpg,https://taa.org.sg/apply/,"Kidney patients,Cancer patients,Stroke patients,Diabetes patients","Financial assistance for healthcare,Financial assistance for cancer,Financial assistance for diabetes,Financial assistance for dialysis","Low Income,Healthcare","diabetes, stroke, high blood sugar, heart disease"
Financial Assistance,"Every month, our volunteers visit each “adopted” family, talking to them and finding out how they fare, providing food provisions and/or cash to supplement whatever public assistance they may be receiving.",The Breadline Group,https://chidnast.sirv.com/SchemesSG/breadline.jpg,https://www.breadlinegroup.org/,Low income families,"Financial assistance for daily living,Food","Low Income,Food","Need befriending, food, hungry, have not eaten, low income, poor"
Prison Support Services – Kids In Play,"Kids In Play (PSS-KIP) works with children from 5 to 18 years of age who face parental incarceration. Partnering closely with relevant social services, we provide professional support to the families of incarcerated parents",The Salvation Army,https://chidnast.sirv.com/SchemesSG/salvationarmy.jpg,https://www.salvationarmy.org.sg/wwd-kids-in-play/,"Ex-offenders,Families of ex-offenders","Casework,Emotional care,Befriender services,Educational programmes","Family,Children,Ex-offender,Low Income,Education","free tuition, children of ex-offender, children of ex-convict, bonding activities, support group, befriender"
The Straits Times School Pocket Money Fund,"To alleviate the financial burden faced by parents in providing for their children’s education (school fees, expenses, etc). Funds will also help children who are already facing difficulties in remaining in school to stay on.",The Straits Times School Pocket Money Fund (SPMF),https://chidnast.sirv.com/SchemesSG/stspmf.jpg,https://www.spmf.org.sg/primary-secondary-students,Children from low income families,Financial assistance for education,"Low Income,Education","Children, disabled, schoolchildren, need computer for school, need money for recess, no money to buy laptop, computer, schooling supplies"
TOUCH Caregivers Support,Provide support and advice for caregiving of elders at home to support ageing in place. Care Line at 6804 6555.,TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-caregivers-support-homepage,Caregivers,"Caregiving advice,Referrals","Elderly,Caregiver,Mental Health","caregiver support, advice, ageing in place"
TOUCH Youth Intervention,"Various programmes regarding cyber wellness issues such as buddy program, workshops, and individual counselling. TYI runs Help123, the National Cyber Wellness one-stop service for youth cyber wellness issues. Youths, parents, educators and schools may reach out to TYI counsellors via email (hello@help123.sg) or hotline (1800 6123123).",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.help123.sg/hotline/,"Youths,Families","Youth programmes,Cyber wellness advice,Parenting help","Mental Health,Youth-at-Risk","gaming addiction, media usage, cyber wellness, cyber bullying"
TOUCH Ubi Hostel (TUH),"TOUCH Ubi Hostel (TUH) offers a stay-in residential programme for adults with mild intellectual disabilities. Located in a housing estate, it provides an excellent training ground for the trainees to experience communal living with a flat-mate in a simulated environment.",TOUCH Community Services,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-ubi-hostel-homepage,Adults with mild intellectual disabilities,Residential programme with employment training,"Residential programme,Employment training","hostel for adults with intellectual disabilities, hostel for adults with low IQ, training for adults with low IQ"
SAFE Programme (Stop Abuse in Families),"TRANS SAFE Centre is a Family Violence Specialist Centre (FVSC). It aims to promote safe relationship in families by providing help to victims of abuse, persons who abuse and their families who are affected by the abuse.",Trans Family Services,https://chidnast.sirv.com/SchemesSG/trans.jpg,https://www.trans.org.sg/index,Facing abuse,Shelter,Family Violence,"Family violence, abusive spouse, husband hit, wife hit, domestic abuse"
The Cuff Road Project,"Assistance for foreign workers. Free breakfast and dinner every weekday. On Saturday, the meal provided is lunch.",Transient Workers Count Too (TWC2),https://chidnast.sirv.com/SchemesSG/twc2.jpg,https://twc2.org.sg/what-we-do/the-cuff-road-project/,Migrant workers/foreign workers,Food,Migrant workers/foreign workers,"workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, construction worker, cleaner, no salary, no pay, worker sick, boss abuse, no food"
Care Fund Programmes,"Assistance for foreign workers. Our programmes can be broadly classified into six main areas: transport, housing, medical care, legal costs, Dayspace, and others",Transient Workers Count Too (TWC2),https://chidnast.sirv.com/SchemesSG/twc2.jpg,https://twc2.org.sg/what-we-do/care-fund-programmes/,Migrant workers/foreign workers,"Transport subsidy,Housing,Legal aid,Financial assistance for healthcare,Referral,Casework",Migrant workers/foreign workers,"workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, construction worker, cleaner, no salary, no pay, worker sick, boss abuse, no food, no house"
Tzu Chi Free Clinic,"The Tzu Chi Free Clinic provides free Internal Medicine, Traditional Chinese medicine (TCM), and dental services mainly to seniors living alone, low-income households, Tzu Chi’s aid beneficiaries as well as migrant workers.",Tzu Chi Singapore,https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,https://www.tzuchi.org.sg/en/our-missions/medicine/traditional-chinese-medicine-free-clinic/,"Seniors living alone,Low income families,Migrant workers","Basic healthcare services,TCM","Healthcare,TCM",No money to see doctor
Ulu Pandan Stars,The programme collaborates with youth volunteers to benefit children with free tuition and courses from underserved families in Ulu Pandan.?,Ulu Pandan PAP Community Foundation (PCF) and Ulu Pandan Citizen Consultative Committee’s (CCC) – Community Development & Welfare Fund Subcommittee (CDWF),https://chidnast.sirv.com/SchemesSG/upstars.jpg,https://upstars.ulupandan.sg/home/,"Children,Children from low income families",Educational programmes,"Low Income,Education,Student Care","Free tuition, need tuition, education, no money for school"
CREST - Community Resource Engagement and Support Team,"CREST serves as a community safety network for people with and/at risk of depression, dementia and other mental health conditions.
 
 It supports their caregivers with resources they need to continue to care for their loved ones at home and in the community. In your neighbourhood, you can approach the Community Outreach Teams which are driven by the social service agencies",Various agencies (coordinated by Agency for Integrated Care),https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/body-mind/dementia-support-referrals,"In need of mental healthcare,Caregivers","Casework,Social support","Elderly,Family,Caregiver","dementia, caregiver, mental illness, depression"
Community Intervention Teams (COMIT),"The Community Intervention Teams (COMIT) provide needs assessments, counselling and psychosocial therapy for clients and caregivers. An individualised care plan will also be developed for you in collaboration with other health and social care partners.",Various agencies (coordinated by Agency for Integrated Care),https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/body-mind/dementia-assessment-counselling,In need of mental healthcare,"Psychological assessment,Mental illness support,Caregiver support","Mental Health,Elderly","caregiver support, mental illness, depression, dementia, schizophrenia, bipolar, mental health assessment, psychologist, psychiatrist"
Tamil Helpline: Supporting migrant workers,"If you are feeling anxious or stressed because of COVID-19, or know of a Tamil-speaking person who may need support, speak to our Tamil speaking counsellors.",Viriya Community Services,https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/news-post/tamil-counselling-helpline-supporting-migrant-workers/,"In need of mental healthcare,Migrant Workers/Foreign Workers,Tamil-speaking","Counseling,Mental wellness,COVID-19 support,Emotional care","Mental Health,COVID-19","covid-19 support, mental health, tamil, indian, migrant workers, stress, foreign workers, Hotline, counselling, Migrant Workers/Foreign Workers, COVID-19"
Viriya Counselling Hotline,"A free counselling helpline for anyone who is facing some challenges in life. Including those feeling anxious and stressed during the Covid-19 pandemic.
 
 Contact at 6256 1311, Monday to Friday from 10am to 5pm.",Viriya Community Services,https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/our-services/specialist-services/,In need of mental healthcare,"Counseling,Mental wellness,COVID-19 support","Mental Health,COVID-19","covid-19, stress, mental wellness, anxiety, helpline, covid-19 support, mental health, Hotline, counselling"
Viriya Dialect Programme,"Previously known as “Learn My Dialect”, the programme started in 2016, aiming to bridge the communication gap between elderly and the young to facilitate intergeneration bonding and active ageing. ",Viriya Community Services,https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/our-services/community-development/community-building-programmes/,"Youth-at-risk,Families,Low income,Education","Tattoo removal,Youth guidance,Educational programmes,Counselling,mentoring","Youth,Youth-at-Risk,Low Income","Tattoo removal, casework, employment, youth work, education, tuition"
